##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
OVERVIEWBUTTON_IRO;This screen gives a brief overview of global variables modified by technology, and also lists what types of units can be built, and how good your nation is at various missions and attacks.;Cet йcran propose une courte prйsentation des variables globales modifiйes par la technologie, йnumиre les types d’unitй pouvant кtre construits, et donne les compйtences de votre pays en mission et а l’assaut.;Questa schermata fornisce un breve riepilogo delle variabili generali modificate dalla tecnologia. Inoltre compare un elenco dei tipi di unitа che si possono costruire e delle prestazioni della tua nazione durante i vari attacchi e missioni.;Esta pantalla da una pequeсa perspectiva de las variables globales modificadas por la tecnologнa y tambiйn detalla los tipos de unidades que pueden construirse y lo buena que es tu naciуn en sus diversos ataques y misiones.;Dieser Bildschirm gibt einen kurzen Ьberblick ьber die globalen Variablen, die durch Technologien modifiziert wurden. AuЯerdem zeigt er eine Liste der Einheiten an, die aufgestellt werden kцnnen und wie gut Ihre Nation sich bei den einzelnen Missionen und Angriffen behauptet.;Ten ekran pozwoli Ci obejrzeж krуtk№ listк zmiennych globalnych, zmodyfikowanych przez odkryte technologie, spis jednostek, ktуre moїesz budowaж oraz informacje o tym, jak dobrze predysponowany jest Twуj narуd do rуїnych zadaс i rodzajуw ataku.;;В этом окне представлены основные характеристики, на которые влияет технология, а также список частей, которые можно создавать, и наши модификаторы в дипломатии и на войне. ;;;X
BUTTON_0040;Terrain Mapmode;Mode terrain;Modalitа terreno della mappa;Mapa geogrбfico;Gelдnde-Karte;Mapa terenu;;Карта местности;;;X
BUTTON_0039;Political Mapmode;Mode politique;Mappa politica;Mapa polнtico;Politische Karte;Mapa polityczna;;Политическая карта;;;X
PRLI_NAME_IRO;Sort the list in alphabetic orders.;Trier la liste par ordre alphabйtique.;Disponi l’elenco in ordine alfabetico;Clasifica la lista por orden alfabйtico.;Liste in alphabetischer Reihenfolge sortieren.;Sortuj w porz№dku alfabetycznym.;;В алфавитном порядке.;;;X
PRLI_UNIT_IRO;Sort the list depending on the amount of divisions in each province.;Trier la liste, en fonction du nombre de divisions dans chaque province.;Ordina l’elenco in base al numero di divisioni presenti in ciascuna provincia.;Clasifica la lista segъn el nъmero de unidades en cada provincia.;Liste nach Anzahl der Divisionen in jeder Provinz sortieren.;Sortuj wedіug iloњci dywizji w prowincji.;;По количеству дивизий в провинции.;;;X
PRLI_FACT_IRO;Sort the list depending on the amount of factories.;Trier la liste en fonction du nombre d’usines.;Ordina l’elenco in base al numero di fabbriche.;Clasifica la lista segъn la cantidad de fбbricas.;Liste nach Anzahl der Fabriken sortieren.;Sortuj wedіug iloњci fabryk w prowincji.;;По количеству заводов.;;;X
PRLI_COMB_IRO;Sort all provinces with combat first.;Trier tout d’abord toutes les provinces dans lesquelles des combats se dйroulent.;Disponi le province coinvolte in battaglia in cima all’elenco.;Pone primero todas las provincias en las que hay combate.;Alle Provinzen mit Kдmpfen zuerst anzeigen.;Sortuj wedіug prowincji, w ktуrych trwa walka.;;По наличию сражений в провинции.;;;X
PRLI_RESO_IRO;Sort the list to get the most resource-rich provinces first.;Trier la liste pour obtenir tout d’abord les provinces les plus riches en ressources.;Disponi le province piщ ricche di risorse in cima all’elenco.;Clasifica la lista para que primero aparezcan las provincias mбs ricas en recursos.;Rohstoffreiche Provinzen zuerst anzeigen.;Sortuj wedіug iloњci surowcуw w prowincji.;;По ресурсам в провинции.;;;X
ADJ_NORMAL;The adjacency to %s is a normal connection.;La contiguпtй avec %s est un lien normal.;La contiguitа con %s и un normale confine.;La adyacencia con %s es una conexiуn normal.;Grenzt an %s mit einer normalen Verbindung.;S№siedztwo z %s pozwala na przejњcie z prowincji do prowincji.;;%s: передвижение через границу ничем не затруднено.;;;X
ADJ_IMPASS;It is not possible to go to %s from %s.;Il est impossible d’aller de %s а %s.;Non и possibile raggiungere %s da %s.;No es posible ir de %s a %s.;Es ist unmцglich, von %s nach %s zu gelangen.;Nie moїna dostaж siк z %s do %s.;;Передвижение в провинцию %s из провинции %s невозможно.;;;X
ADJ_CANAL;A canal leads from %s to %s. It passes through %s, and enemy armies there will block movement.;Un canal relie %s а %s. Il traverse %s, et les armйes ennemies bloqueront les dйplacements.;Un canale unisce %s a %s. Esso attraversa %s: qui le armate nemiche bloccheranno qualsiasi spostamento.;Un canal lleva de %s a %s. Pasa por %s, y los ejйrcitos enemigos de allн bloquearбn el movimiento.;Ein Kanal fьhrt von %s nach %s. Er passiert %s. Feindlichen Armeen dort verhindern den Vormarsch.;Z %s do %s prowadzi kanaі przez %s. Armie wroga zablokuj№ tam ruch statkуw.;;Зоны %s и %s соединяет канал. Он проходит через провинцию %s, где вражеские войска могут блокировать движение по каналу.;;;X
ADJ_SEA;The connection from %s to %s includes a narrow body of open water. Hostile fleets in %s will block movement.;Le lien entre %s et %s traverse une zone d’eau libre йtroite. Des flottes hostiles а %s bloqueront les dйplacements.;Il confine tra %s e %s passa attraverso un braccio di mare. Le flotte nemiche in %s bloccheranno qualsiasi spostamento.;La conexiуn entre %s y %s pasa por un cuerpo estrecho de aguas abiertas. Las flotas hostiles de %s bloquearбn el movimiento.;Die Verbindung von %s nach %s fьhrt ьber das offene Meer. Feindliche Flotten in %s verhindern den Vormarsch.;Poі№czenie %s z %s wiedzie przez fragment otwartych wуd. Wroga flota w %s zablokuje transport.;;Передвижение из провинции %s в провинцию %s идет через узкий пролив. Вражеский флот в зоне %s может блокировать движение.;;;X
ADJ_RIVER;There is a river between %s and %s, which is difficult to cross and will help a defender on the other side.;Il y a une riviиre entre %s et %s, ce qui rend la traversйe plus longue, et aide les dйfenseurs sur l’autre rive.;Tra %s e %s scorre un fiume che rende piщ difficoltoso l’attraversamento del confine, favorendo eventuali truppe difensive sull’altra sponda.;Hay un rнo entre %s y %s muy largo de cruzar y que ayudarб a cualquier defensor que haya en la otra orilla.;Es gibt einen Fluss zwischen %s und %s. Es wird eine Weile dauern, ihn zu ьberqueren. Das hilft eventuell vorhandenen Verteidigern auf der anderen Seite.;Pomiкdzy %s, a %s pіynie rzeka, ktуra utrudni przedostanie siк do prowincji i pomoїe obroсcom na drugim brzegu.;;Между провинциями %s и %s протекает река. На ее форсирование необходимо время, и обороняющаяся за рекой сторона получает преимущество. ;;;X
HRPOV_OWNER_IRO;Owned by %s.;Appartient а %s.;Appartenente a: %s.;Territorio de %s.;Eigentum von %s.;Prowincja paсstwa: %s.;;Принадлежит государству %s.;;;X
HRPOV_CONTROLLER_IRO;Currently Occupied by %s.;Actuellement occupй par %s.;Al momento occupato da: %s.;Ocupada actualmente por %s.;Gegenwдrtig besetzt von %s.;Okupowana przez: %s.;;Оккупирована государством %s.;;;X
BUTTON_VPMODE;Victory Points Mapmode;Points de victoire;Modalitа punti vittoria della mappa;Mapa de puntos de victoria;Karte der Siegpunkte;Mapa punktуw zwyciкstwa;;Карта игровых очков;;;X
BUTTON_0050;Click to pause the game. You can still give orders while the game is paused, but time will be frozen.;Cliquer pour faire une pause. Vous pouvez continuer а donner des ordres en cas de pause, mais le temps sera suspendu.;Clicca per mettere il gioco in pausa. Mentre la partita и ferma potrai ancora impartire ordini, ma il tempo sarа congelato.;Haz clic para pausar la partida. Puedes dar уrdenes mientras el juego estб detenido, pero el tiempo seguirб parado.;Hier klicken, um das Spiel in den Pausemodus zu schalten. Sie kцnnen trotzdem Befehle ausgeben, wenn das Spiel auf Pause geschaltet ist, jedoch wird die Zeit angehalten.;Kliknij, aby zatrzymaж grк. Ci№gle moїesz wydawaж rozkazy, choж czas nie bкdzie pіyn№і.;;Щелкните, чтобы остановить игру. Вы сможете отдавать приказы, но время не будет идти.;;;X
UIW_MERGE_IRO;Click to merge the selected units into a single unit. ;Cliquer pour fusionner les unitйs sйlectionnйes en une seule unitй. ;Clicca per fondere le unitа selezionate in una sola unitа.;Haz clic para combinar las unidades seleccionadas en una sola. ;Hier klicken, um die ausgewдhlten Einheiten in einer einzigen Einheit miteinander zu vereinen.;Kliknij, aby poі№czyж dwie jednostki w jedn№.;;Щелкните, чтобы объединить выбранные части в одну.;;;X
UIW_REORG_IRO;Click to reorganize these two selected units, moving divisions or ships between them. ;Cliquer pour rйorganiser les deux unitйs sйlectionnйes, dйplacer des divisions ou des navires entre eux. ;Clicca per riorganizzare le due unitа selezionate, spostando dall’una all’altra navi e divisioni.;Haz clic para reorganizar las dos unidades seleccionadas y trasladar divisiones o naves de una a otra. ;Hier klicken, um Einheiten zwischen den beiden Gruppen auszutauschen.;Kliknij, aby zreorganizowaж dwie wybrane jednostki, przenosz№c dywizje, lub statki miкdzy nimi.;;Щелкните, чтобы переформировать две выбранные части и перераспределить дивизии и корабли между ними.;;;X
UIW_MERGE_DIS_IRO;You can only merge units if they are in the same province and not involved in any combats. Fleets can not merge if one of them has loaded troops;Vous ne pouvez fusionner des unitйs que si elles sont dans la mкme province et ne participent а aucun combat.;Puoi fondere le unitа solo se si trovano nella stessa provincia e se non sono impegnate in combattimento.;Sуlo puedes combinar unidades que estйn en la misma provincia y no se encuentren combatiendo.;Sie kцnnen die Einheiten nur zusammenlegen, wenn sie sich in derselben Provinz befinden und gegenwдrtig nicht kдmpfen.;Moїesz poі№czyж dwie jednostki, jeїeli znajduj№ siк one w jednej prowincji i nie s№ zwi№zane walk№.;;Вы можете объединять части только тогда, когда они находятся в одной провинции и не участвуют в бою.;;;X
UIW_REORG_DIS_IRO;You can only reorganize if you have two units selected in the same province, and neither is in combat. Fleets can not reorganize if one of them has loaded troops;Vous ne pouvez rйorganiser que si vous avez deux unitйs sйlectionnйes dans la mкme province, et qu’aucune ne prend part а un combat.;Puoi effettuare una riorganizzazione solo se hai selezionato due unitа nella stessa provincia che non siano impegnate in combattimento.;Sуlo puedes reorganizar si tienes dos unidades seleccionadas en la misma provincia y ninguna estб en combate.;Um diese Einheit in zwei Einheiten aufzuteilen, benцtigen Sie mindestens zwei Divisionen, Flottillen oder Geschwader.;Moїesz zreorganizowaж dwie jednostki, jeїeli znajduj№ siк one w jednej prowincji i nie s№ zwi№zane walk№.;;Вы можете переформировывать части только тогда, когда они находятся в одной провинции и не участвуют в бою.;;;X
UIW_RETURNFORCE;Click to return this unit to the original owner who lent you it.;Cliquer pour rendre cette unitй а son propriйtaire d’origine, qui vous l’avait prкtйe.;Clicca per restituire quest’unitа al precedente proprietario da cui l’hai presa in prestito.;Haz clic para devolver la unidad al propietario original que te la prestу.;Hier klicken, um diese Einheit dem Besitzer zurьckzugeben, der sie Ihnen ausgeborgt hat.;Kliknij, aby zwrуciж jednostkк oryginalnemu wіaњcicielowi.;;Щелкните, чтобы вернуть часть в подчинение государства, которое одолжило ее вам.;;;X
SHIPUNLOADTROOPS;Click to unload the troops currently loaded on this fleet.;Cliquer pour dйbarquer les troupes actuellement embarquйes sur cette flotte.;Clicca per far sbarcare le truppe caricate attualmente a bordo di questa flotta.;Haz clic para desembarcar las tropas embarcadas actualmente en esta flota.;Hier klicken, um die Truppen zu entladen, die gegenwдrtig auf dieser Flotte sind.;Kliknij, aby wyіadowaж їoіnierzy, aktualnie znajduj№cych siк na pokіadzie okrкtуw tej floty.;;Щелкните, чтобы выгрузить войска с этого флота.;;;X
DEPRECATED_TO_CONVOY_ESC_IRO;Convert %s to %d convoy escorts. ;Convertir %s en %d escortes de convois. ;Convertire %s in %d unitа di scorta. ;Convertir %s a %d escoltas. ;konvertiere %s zu %d Eskortschiffe. ;Dokonaj konwersji: %s na %d okrкtуw konwojowych. ;;Сформировать из %s %d кораблей эскорта. ;;;X
DEPRECATED_TO_CONVOY_TRA_IRO;Convert %s to %d convoy transports. ;Convertir %s en %d coivois de transport. ;Convertire %s in %d convogli. ;Convertir %s a %d transportes. ;konvertiere %s zu %d Konvoischiffen. ;Dokonaj konwersji: %s na %d statkуw transportowych.;;Сформировать из %s %d транспортных конвоев. ;;;X
DEPRECATED_TO_CONVOY_CONFIRM;Do you really want to permanently transfer the selected units to convoy duties?;Voulez vous transfйrer de faзon permanente ces unitйs vers des fonctions de convois ?;Vuoi davvero trasferire permanentemente le unitа selezionate a compiti di convoglio?;їDe verdad quiere transferir de forma permanente las unidades seleccionados a las competencias del convoy?;Mцchten Sie diese Einheit wirklich zu Konvois konvertieren?;Czy na pewno chcesz na staіe przenieњж wybrane jednostki do zadaс konwojowych?;;Вы действительно желаете корабли выбранных подразделений на конвойную службу?;;;X
EN_WRONG_PASSWORD;You did not enter the correct password.;Vous n’avez pas entrй le bon mot de passe.;Non hai inserito la password corretta.;No has introducido la contraseсa correcta.;Das Passwort ist nicht korrekt.;Nie wpisaіeњ wіaњciwego hasіa.;;Неверный пароль.;;;X
C_CR_DIS_IRO;All your resource producing areas already have convoys moving them home.;Toutes vos rйgions productrices de ressources ont dйjа des convois qui les rapportent chez vous;Tutte le aree di produzione di risorse dispongono giа di convogli per trasportare i beni nel nostro paese.;Todas tus бreas de producciуn de recursos tienen convoyes que los llevan a tu patria.;All Ihre ressourcenproduzierenden Gebiete verfьgen schon ьber Konvois, die diese nach Hause bringen.;Wszystkie tereny produkuj№ce surowce transportuj№ je konwojami do stolicy.;;Конвои уже перевозят ресурсы из всех добывающих областей.;;;X
C_CS_DIS_IRO;All your areas have supply convoys going to them already.;Toutes vos zones disposent de convois d’approvisionnement qui se rendent dans ces rйgions.;Esistono giа convogli di rifornimento diretti verso tutte le tue aree.;Todas tus бreas ya tienen convoyes que van hasta ellas.;Zu all Ihren Gebieten sind schon Konvois unterwegs.;Wszystkie Twoje terytoria maj№ juї konwoje transportuj№ce do nich towary.;;Конвои уже перевозят припасы во все отдаленные области.;;;X
CON_PORT_LIST;The following provinces are served by this port.;Les provinces suivantes sont desservies par ce port.;Questo porto serve le seguenti province.;Las provincias siguientes estбn cubiertas por este puerto.;Vom Hafen aus kцnnen Sie folgende Provinzen erreichen.;Nastкpuj№ce prowincje s№ obsіugiwane przez ten port.;;Этот порт обслуживает следующие провинции: ;;;X
PCIW_DEMAND_TRIBUTE;Insist on Demands;Revendiquer;Reclama ancora;Imponer exigencias;Forderungen stellen;Postaw ї№dania;;Высказать требования;;;X
PCIW_NO_TRIBUTE;Offer a White Peace;Offrir une paix blanche;Proponi una pace bianca;Cese de hostilidades;WeiЯer Frieden;Zaproponuj biaіy pokуj;;Предложить 'белый' мир;;;X
PCIW_OFFER_TRIBUTE;Beg for Peace;Supplier;Implora la pace;Rogar la paz;Angebot machen;Bіagaj o pokуj;;Молить о мире;;;X
SUE_FOR_PEACE_TITLE;Sue for Peace with %s;Nйgocier la paix avec %s;Chiedi la pace a: %s;Pedir la paz con %s;Um Frieden mit %s bitten;Zaproponuj pokуj z %s;;Просить мира у государства %s;;;X
WARSCORE;Warscore:;Rйsultats des combats :;Punteggio di guerra:;Puntuaciуn de guerra:;Kriegspunkte:;Wynik wojny:;;Итог войны:;;;X
PCSELECTED;Current Value;Valeur actuelle;Valore attuale;Valor actual;Aktueller Wert;Aktualna wartoњж:;;Итого:;;;X
PO_DISAR;They will be forced to disarm their troops. This costs %d war score to demand.;Ils devront dйsarmer leurs troupes. Coыt de la demande en points de guerre: %d.;Saranno costrette a smantellare le loro forze. Una simile rivendicazione comporta un costo di %d punti di guerra.;Se verбn obligados a desarmar a sus tropas. Pedir esto nos costarб %d en la puntuaciуn de guerra.;Sie werden gezwungen, ihre Truppen zu entwaffnen. Diese Forderung kostet %d Kriegspunkte.;Zostan№ zmuszeni do rozbrojenia swoich їoіnierzy. Takie ї№danie bкdzie nas kosztowaіo %d punktуw liczonych do wyniku wojny.;;Они будут вынуждены распустить армию. Это требование соответствует %d процентам Итога войны.;;;X
PO_ACCES;This will let us use their territory as much as we want to. This costs %d war score to demand.;Nous pourrons profiter de leur territoire а loisir. Coыt de la demande en points de guerre: %d.;Ci lasceranno usare il loro territorio a loro piacimento. Una simile rivendicazione comporta un costo di %d punti di guerra.;Esto nos permitirб entrar en su territorio tanto como queramos. Pedir esto nos costarб %d en la puntuaciуn de guerra.;Hierdurch lassen sie uns ihr Gebiet nach Gutdьnken benutzen. Diese Forderung kostet %d Kriegspunkte.;Pozwol№ nam na caіkowity dostкp do swojego terytorium. Takie ї№danie bкdzie nas kosztowaіo %d punktуw liczonych do wyniku wojny.;;Это позволит нам использовать их территорию. Это требование соответствует %d процентам Итога войны.;;;X
PO_MAKSA;This option will make them become our puppet. This costs %d war score to demand.;Cette option fera d’eux notre satellite. Une telle demande vous coыtera %d rйsultats de combat.;Quest’opzione le farа diventare nostre nazioni fantoccio. Una simile rivendicazione comporta un costo di %d punti di guerra.;Con esta opciуn los convertirбs en tu tнtere. Pedir esto nos costarб %d en la puntuaciуn de guerra.;Durch diese Option werden sie zu unserer Marionette. Diese Forderung kostet %d Kriegspunkte.;Ta opcja uczyni z nich paсstwo satelickie. Takie ї№danie bкdzie nas kosztowaіo %d punktуw liczonych do wyniku wojny.;;Они станут нашим сателлитом. Это требование соответствует %d процентам Итога войны.;;;X
DIPROL_SUEING;You can only demand this, never offer it.;Vous ne pouvez qu’exiger ceci, jamais l’offrir.;Questa и una cosa che si puт solo reclamare e non proporre.;Esto sуlo se puede pedir, nunca ofrecer.;Sie kцnnen dies nur fordern, niemals anbieten.;Moїesz tego tylko ї№daж, nigdy proponowaж.;;Вы можете требовать это, но не предлагать.;;;X
PRIMARYYEAR;Historical Year: %d;Annйe historique: %d;Anno storico: %d;Aсo histуrico: %d;Historisches Jahr: %d;Rok historyczny: %d;;Год: %d;;;X
BLUEPRINTS;Blueprints traded for: %s;Plans йchangйs contre: %s;Schemi scambiati per: %s;Planos intercambiados: %s;Blaupausen verfьgbar: %s;Projekt uzyskany na mocy umowy: %s;;Чертежи: %s;;;X
NO_END_POSSIBLE;This scenario lacks Victory Events. (please report BUG immediately);Ce scйnario manque d’йvйnements victorieux. (Veuillez immйdiatement signaler une ERREUR);In questo scenario non compaiono Eventi vittoria. (Si prega di notificare immediatamente il malfunzionamento).;Este escenario carece de sucesos de victoria. (informa del ERROR inmediatamente);In diesem Szenario fehlen Siegereignisse. (Fehler bitte sofort melden);W tym scenariuszu brakuje warunkуw zwyciкstwa (wyњlij informacjк o bікdzie);;В этом сценарии нет определяющих победу условий. (Пожалуйста, немедленно сообщите об этой проблеме);;;X
NO_TRIGGERS_IN_GAME;LACKS ANY SORT OF TRIGGERS!! ((please report BUG immediately);ABSENCE DE DECLENCHEURS DE QUELQUE SORTE QUE CE SOIT !! (Veuillez immйdiatement signaler une ERREUR);MANCANO COMPLETAMENTE I TRIGGER!! ((si prega di notificare il malfunzionamento immediatamente);ЎЎNO TIENE NINGЪN TIPO DE DISPARADORES (TRIGGERS)!! (informa del ERROR inmediatamente);KEINERLEI TRIGGER VORHANDEN (Fehler bitte sofort melden);Brak jakichkolwiek wyzwalaczy! (wyњlij informacjк o bікdzie);;ОТСУТСТВУЮТ ВСЕ ТРИГГЕРЫ!! (Пожалуйста, немедленно сообщите об этой проблеме);;;X
ATTR_CLIMATE;Climate: %+.2f percent.\n;Climat : %+.2f pour cent.\n;Clima: %+.2f percento.\n;Clima: %+.2f por ciento.\n;Klima: %+.2f Prozent.\n;Klimat: %+.2f procent.\n;;Климат: %+.2f проц.\n;;;X
ATTR_JUNGLE;Jungle: %+.2f percent.\n;Jungle : %+.2f pour cent.\n;Giungla: %+.2f percento.\n;Jungla: %+.2f por ciento.\n;Dschungel: %+.2f Prozent.\n;Dїungla: %+.2f procent.\n;;Джунгли: %+.2f проц.\n;;;X
ATTR_WINTER_L;Winter: %+.2f percent (leader)\n;Hiver : %+.2f pour cent (leader)\n;Inverno: %+.2f percento (leader)\n;Invierno: %+.2f por ciento (lнder)\n;Winter: %+.2f Prozent (Winterspezialist)\n;Zima: %+.2f procent (dowуdca).\n;;Зима: %+.2f проц. (военачальник)\n;;;X
ATTR_WINTER;Winter: %+.2f percent\n;Hiver : %+.2f pour cent\n;Inverno: %+.2f percento\n;Invierno: %+.2f por ciento\n;Winter: %+.2f Prozent\n;Zima: %+.2f procent.\n;;Зима: %+.2f проц.\n;;;X
ATTR_LOGIST;Logistical Expertise: /%d\n;Expertise logistique:  /%d\n;Esperienza logistica: /%d\n;Capacidad logнstica: /%d\n;Logistikgenie: /%d\n;Zdolnoњci logistyczne:/%d\n;;Организация снабжения: /%d\n;;;X
ATTR_FRIEND;Friendly Front: /%d\n;Front amical: /%d\n;Facciata amichevole: /%d\n;Frente amigo: /%d\n;freundliche Front: /%d\n;Front sprzymierzonych:/%d\n;;Свой фронт: /%d\n;;;X
ATTR_FUEL;No Fuel Usage: /%d\n;Aucune utilisation de carburant: /%d\n;Nessun uso di carburante: /%d\n;Sin uso de combustible: /%d\n;kein Treibstoff benцtigt: /%d\n;Brak zuїycia paliwa:/%d\n;;Горючее не расходуется: /%d\n;;;X
ATTR_TECH;Technology: /%.2f\n;Technologie : /%.2f\n;Tecnologia: /%.2f\n;Tecnologнa: /%.2f\n;Technologie: /%.2f\n;Technologie: %+.2f procent.\n;;Технология: /%.2f\n;;;X
ATTR_MOD;Effectiveness: *%.2f\n;Efficacitй: *%.2f\n;Efficacia: *%.2f\n;Eficacia: *%.2f\n;Effektivitдt: *%.2f\n;Efektywnoњж: *%.2f\n;;Эффективность: *%.2f\n;;;X
SINGLEUNIT;You can only set orders for each air unit one at a time. (Since they have different restrictions and/or range.);Vous ne pouvez donner des ordres qu’а une unitй aйrienne а la fois. (Car leurs restrictions et / ou portйe sont diffйrents.);Puoi impartire ordini a una sola unitа per volta (dal momento che hanno limitazioni e raggi d’azione diversi).;Sуlo puedes dar уrdenes a una unidad aйrea a la vez (ya que tienen diferentes radios de acciуn o restricciones).;Sie kцnnen nur einer Lufteinheit auf einmal Befehle erteilen, da sie unterschiedliche Beschrдnkungen und/oder Reichweiten haben.;Moїesz wydawaж rozkazy tylko pojedynczym jednostkom lotniczym, poniewaї kaїda z nich ma inne ograniczenia i/lub zasiкg.;;Мы не можем отдать этот приказ всем авиачастям. (У них разные возможности или радиус действия.);;;X
RES_MONEY_ON_TECH; Research: %+.1f\n; Recherches: %+.1f\n; Ricerca: %+.1f\n; Investigaciуn: %+.1f\n; Forschung: %+.1f\n; Badania: %+.1f\n;; Разработка: %+.1f\n;;;X
RES_MONEY_ON_SPY; Intelligence: %+.2f\n; Intelligence: %+.2f\n; Spionaggio: %+.2f\n; Inteligencia: %+.2f\n; Nachrichtendienst: %+.2f\n; Wywiad: %+.2f\n;; Разведка: %+.2f\n;;;X
TT_OK_SALARY;This team requires %.2f$ each day when working on a project.;Il faut %.2f$ quotidiens а cette йquipe pour travailler sur un projet.;Questa squadra necessita di %.2f$ al giorno durante lo studio di un progetto.;Este equipo necesita %.2f Ј cada dнa para trabajar en un proyecto.;Dieses Team benцtigt %.2f $ pro Tag, wenn es an einem Projekt arbeitet.;Ten zespуі wymaga Ј%.2f kaїdego dnia podczas pracy nad projektem .;;Этой группе разработчиков необходимо $%.2f ежедневно во время работы над проектом.;;;X
TT_BAD_SALARY;You were not able to pay the salary of %.2f$ this team demands, so they did not work at their optimum speed today.;Vous n’avez pas pu payer le salaire de %.2f$ exigй par cette йquipe, elle n’a donc aujourd’hui pas travaillй а vitesse optimale.;Non sei riuscito a pagare il salario di %.2f$ richiesto da questa squadra. Per questo motivo oggi non ha lavorato a pieno ritmo.;No has podido pagar el salario de %.2f $ que pide el equipo, por lo que no hoy han trabajado a su velocidad уptima.;Wir konnten das Gehalt von %.2f$ nicht zahlen, daher wird dieses Forschungsteam heute nicht mit voller Leistung arbeiten.;Nie byliњmy w stanie zapіaciж %.2f$ temu zespoіowi, wiкc nie pracowaі on z optymaln№ wydajnoњci№.;;Мы не смогли выплатить %.2f$, затребованные этой группой, поэтому они сегодня работали не в полную силу.;;;X
BUTTON_0041;View Game Settings (F10);Afficher les paramиtres de la partie (F10);Visualizza impostazioni (F10);Ver configuraciуn juego (F10);Spieleinstellungen einsehen (F10);Ustawienia i opcje gry (F10);;Просмотр установок игры (F10);;;X
