#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the English original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the colour of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
ALLIANCE_ENTENTE1948;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;;;X
NPERSONALITY_GREATSOUL;Great Soul;Great Soul;Great Soul;Great Soul;Great Soul;Great Soul;Great Soul;Great Soul;;;x
DPERSONALITY_GREATSOUL;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;A towering personality of pure moral convictions and a cunning political operator to booth, Mohandas Karamchand Gandhi was by many regarded as the avatar of progressive political, ethnic and religious pluralism on the Indian sub-continent. Abhorring violence, but stalwart in his conviction of an India completely liberated from exploitation, the Mahatma (meaning Great Soul) managed to unite wildly different groupings behind his agrarian platform, promising a new age forged in the furnaces of justice and liberty.;;;x
NPERSONALITY_WELTKRIEGMAHARAJA;Weltkrieg Maharaja;Weltkrieg Maharaja;Weltkrieg Maharaja;Weltkrieg Maharaja;Weltkrieg Maharaja;Weltkrieg Maharaja;Weltkrieg Maharaja;Weltkrieg Maharaja;;;X
DPERSONALITY_WELTKRIEGMAHARAJA;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;General Maharaja Sir Ganga Singh was the eminent ruler of the princely state of Bikaner, noted loyalist commander and visionary reformer. Having served on the Imperial War Cabinet during the Weltkrieg, Ganga Singh rose to the position as ‘strongman’ of the Indian Dominion when the British Raj collapsed amidst revolution in the Bengal and princely treachery in the Deccan. A patriot through and through, Singh vowed not to shy any means in restoring the lawful Delhi government to all-Indian control.;;;X
NPERSONALITY_LION_OF_AFRICA;The Lion of Africa;The Lion of Africa;The Lion of Africa;The Lion of Africa;The Lion of Africa;The Lion of Africa;The Lion of Africa;The Lion of Africa;;;X
DPERSONALITY_LION_OF_AFRICA;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;Perhaps the most venerated and popular Weltkrieg general of today, Paul von Lettow-Vorbeck earned the nickname ‘Der Löwe von Afrika’ as a highly successful commander of German askaris, remaining undefeated whilst causing the Entente colonial forces endless amounts of grief until the war was concluded victoriously. Crowning his impressive military accomplishments with the position as the first governor of Mittelafrika, Lettow-Vorbeck has since moved on to domestic German politics, entering the Reichstag as the leader of the liberal and moderate nationalist ‘Nationalliberale Partei’. Charismatic and dashing, the Lion of Africa seems poised to influence the future of the German Empire for years to come.;;;X
NPERSONALITY_O;'O';'O';'O';'O';'O';'O';'O';'O';;;X
DPERSONALITY_O;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;Also known as ‘The Holy Terror’, Ormonde Winter served as a ruthless chief of counter-intelligence in Ireland after the Peace With Honour ended the Weltkrieg. Relocated too late to the Homes Isles to help break up the revolutionary groupings, Winter is wholly dedicated to eliminate all enemies to King and Empire - no matter the costs.;;;X
NPERSONALITY_HEALTH;Health and Safety Proponent;Partisan de la santé et de la sécurité;Sostenitore di salute pubblica e sicurezza;Defensor de la Seguridad y Salud;Sozialpolitiker;Zwolennik poprawy stanu zdrowia i bezpieczeñstwa;;Ñòîðîííèê çäðàâîîõðàíåíèÿ;;;X
DPERSONALITY_HEALTH;Health and Safety Proponent believes that the primary purpose of a government is to improve the workers' safety and the health care system.;Le partisan de la santé et de la sécurité pense que l'objectit principal du gouvernment est d'améliorer la sécurité des travailleurs et le système de santé.;Il sostenitore della salute e sicurezza ritiene che lo scopo primario di un governo sia quello di migliorare la sicurezza dei lavoratori e del sistema sanitario.;Un defensor de la salud y seguridad cree que el principal propósito de un gobierno es mejorar la seguridad de los trabajadores y el sistema de salud.;Der Sozialpolitiker sieht die vornehmste Aufgabe des Staates darin, für Sicherheit und Gesundheit der Arbeiter zu sorgen.;Dla ministra zainteresowanego kwestiami zdrowia oraz bezpieczeñstwa i higieny pracy, podstawowym celem rz¹du jest poprawa bezpieczeñstwa zatrudnionych osób oraz usprawnianie systemu opieki zdrowotnej.;;Ñòîðîííèê çäðàâîîõðàíåíèÿ âåðèò, ÷òî ïðÿìàÿ îáÿçàííîñòü ãîñóäàðñòâà - óëó÷øàòü áåçîïàñíîñòü ñâîèõ ðàáîòíèêîâ è ñèñòåìó çäðàâîîõðàíåíèÿ.;;;X
NPERSONALITY_POLICE;Chief of Secret Police;Chef de la police secrète;Il Capo della Polizia Segreta;Jefe de la Policía Secreta;Chef der Geheimpolizei;Szef tajnych s³u¿b;;Øåô òàéíîé ïîëèöèè;;;X
DPERSONALITY_POLICE;The Chief of Secret Police uses his position to root out dissent and disloyal elements within the local population.;Le chef de la police secrète se sert de sa position pour éradiquer toute dissension et tous les éléments déloyaux de la population locale.;Il capo della polizia segreta usa la sua posizione per estirpare il dissenso e gli elementi sleali dalla popolazione locale.;El jefe de la Policía Secreta usa su posición para eliminar la disensión y los elementos desleales dentro de la población.;Der Chef der Geheimpolizei nutzt seine Position, um alle dem Staat feindlich gesonnenen Abweichler und Unruhestifter zu eliminieren.;Szef tajnych s³u¿b u¿ywa swej pozycji do wykorzenienia niepokojów spo³ecznych i eliminacji nielojalnych elementów zidentyfikowanych wœród populacji kraju.;;Øåô òàéíîé ïîëèöèè èñïîëüçóåò ñâîå ïîëîæåíèå, ÷òîáû ïîäàâëÿòü íåäîâîëüñòâî è íåëîÿëüíûå ýëåìåíòû â ñîñòàâå íàñåëåíèÿ.;;;X
NPERSONALITY_LOCAL_TYRANT;Local tyrant;Tyran local;Tiranno Locale;Tirano local;lokaler Tyrann;Lokalny tyran;;Ìåñòíûé äåñïîò;;;X
DPERSONALITY_LOCAL_TYRANT;Local tyrant rules his nation with iron-fisted terror. Due to his nation's limited power he rarely supports expansionist acts - in fact, he often owes his power to foreign dictator - but as for centralizing all the power in his country to his own hands, there are no ways to avoid.;Un tyran local règne sur son pays par la terreur et avec une poigne de fer. En raison de la puissance limitée de son pays, il soutient que rarement des actes expansionnistes - en fait, il doit souvent son pouvoir à un dictateur étranger - mais qui ne peut pas centraliser tout le pouvoir de son pays pour ses propres mains.;Il tiranno locale governo la sua nazione con terrore brutale. A cause del potere limitato del suo paese, raramente supporta atti espansionistici – infatti, deve spesso il suo potere a potenze straniere – ma non ha opposizione nel concentrare tutto il potere della nazione nelle sue mani.;El tirano local lidera su nacion con mano de hierro. Debido al limitado poder de su nación que rara vez tiene voluntad expansionista - de hecho, a menudo le debe su poder a un dictador extranjero - pero no hay manera de evitar la centralización de todo el poder de su país en sus propias manos .;Lokaler Tyrann herrscht über seine Nation mit dem Eisen-Fisted Terror. Wegen der beschränkten Macht seiner Nation unterstützt er selten Expansionstaten, tatsächlich verdankt seine Macht einem ausländischen Diktator. Da aber die Macht bei ihm zentralisiert wird, gibt es kein Mittel in zu stürzen.;Lokalny tyran rz¹dzi swoim narodem przy u¿yciu ¿elaznego terroru. Z uwagi na ograniczon¹ si³ê swojego pañstwa rzadko zdobywa siê na akty ekspansjonizmu, faktycznie czêsto jego w³adza zale¿y od jakiegoœ zagranicznego dyktatora. Jeœli chodzi jednak o centralizacjê w³adzy w swoim w³asnym pañstwie, jego wszechw³adza jest nieunikniona.;;Ìåñòíûé äåñïîò ïðàâèò ñâîèì íàðîäîì æåëåçíîé ðóêîé òåððîðà. Èç-çà îãðàíè÷åííîé ñèëû ñâîåé ñòðàíû îí ðåäêî ïîääåðæèâàåò ýêñïàíñèîíèñòñêèå äåéñòâèÿ - íà ñàìîì äåëå, îí ÷àñòî îáÿçàí ñâîåé âëàñòüþ èíîñòðàííîìó äèêòàòîðó, - èáî äëÿ öåíòðàëèçàöèè âñåé âëàñòè â ñòðàíå â ñâîèõ ðóêàõ èíûõ ñïîñîáîâ íåò.;;;X
NPERSONALITY_OIL_BARON;Oil Baron;Magnat du pétrole;Magnate del petrolio;Barón del Petroleo;Ölbaron;Baron naftowy;;Íåôòÿíîé áàðîí;;;X
DPERSONALITY_OIL_BARON;The Oil Baron is a powerful person in the oil industry. He controls or has connections with many industries and companies and he has a positive influence in the oil extraction and refining business.;Le baron du pétrole est une personne influente de l'industrie pétrolière. Il contrôle ou a des contacts avec les principales industries et entreprises du secteur, et a une influence positive dans l'extraction ou le raffinage du pétrole.;Il magnate del petrolio è una persona forte nel settore petrolifero. Egli controlla od ha collegamenti con molte industrie e società ed ha un influsso positivo nell'estrazione di petrolio ed attività di raffinazione.;El barón del petróleo es una persona poderosa en la industria petrolera. Él controla o tiene conexiones con muchas industrias y empresas y tiene una influencia positiva en la extracción de petróleo y de negocios de refinación.;Der Ölbaron ist eine wohlbekannte und wichtige Person in der Ölindustrie. Er kontrolliert oder hat ausgezeichnete Kontakte zu vielen industriellen Bereichen und übt einen positiven Einfluss auf die Ölförderung und Raffinerien aus;Baron naftowy jest siln¹ osobistoœci¹ w œwiecie przemys³u naftowego. Kontroluje osobiœcie lub poprzez uk³ady wiele firm i ma pozytywny wp³yw na przemys³ wydobywczy i przetwórczy ropy.;;Íåôòÿíîé áàðîí ýòî ìîãóùåñòâåííàÿ ïåðñîíà â íåôòÿíîé èíäóñòðèè. Îí êîíòðîëèðóåò èëè ñîòðóäíè÷àåò ñî ìíîãèìè ïðî÷èìè îòðàñëÿìè ïðîìûøëåííîñòè è êîìïàíèÿìè, èìååò ïîçèòèâíîå âëèÿíèå íà ïðîöåññû äîáû÷è è îáðàáîòêè íåôòè.;;;X
NPERSONALITY_STEEL_MAGNATE;Steel Magnate;Magnat de l'acier;Magnate dell'acciaio;El magnate del acero;Stahlmagnat;Magnat przemys³u stalowego;;Ñòàëüíîé ìàãíàò;;;X
DPERSONALITY_STEEL_MAGNATE;The Steel Magnate has a prominent place in the steel making industry and is a key person in the steel markets. He can use his position to increase the productivity of his industries and boost the production and sale of metal products in his country.;Le magnat de l'acier a une place dominante dans l'industrie de l'acier et est un personnage clé dans ce marché. Il peut user de sa position pour augmenter le rendement des usines d'acier et améliorer les ventes dans son pays.;Il magnate ha un posto preminente nel settore della produzione dell'acciaio ed è una persona chiave nel mercato dello stesso. Si può usare la sua posizione per aumentare la produttività delle sue industrie e stimolare la produzione e la vendita di prodotti in metallo nel suo paese.;El magnate del acero tiene un lugar prominente en la industria de fabricación de acero y es una persona clave en los mercados del acero. Él puede usar su posición para aumentar la productividad de sus industrias y aumentar la producción y venta de productos de metal en su país.;Der Ölbaron ist eine wohlbekannte und wichtige Person in der Stahlindustrie. Er kann seine Position nutzen, um die Stahlproduktion zu erhöhen sowie die verabreitenden Industrien zu unterstützen.;Magnat przemys³u stalowego zajmuje prominentne miejsce w przemyœle hutniczym i jest kluczowym znawc¹ rynków metali. Mo¿e u¿yæ swej pozycji do zwiêkszenia produktywnoœci i zyskownoœci kierowanych przez niego firm i zwiêkszenia ca³ego krajowego potencja³u.;;Ñòàëüíîé Ìàãíàò çàíèìàåò âèäíîå ìåñòî â ñòàëåïëàâèëüíîé ïðîìûøëåííîñòè è ÿâëÿåòñÿ êëþ÷åâîé ïåðñîíîé íà ðûíêàõ ñòàëè. Îí ìîæåò èñïîëüçîâàòü ñâîè âîçìîæíîñòè äëÿ óâåëè÷åíèÿ ïðîèçâîäèòåëüíîñòè èíäóñòðèè è ñòèìóëèðîâàíèÿ ïðîèçâîäñòâà è ïðîäàæ ìåòàëëè÷åñêèõ èçäåëèé â ñâîåé ñòðàíå.;;;X
NPERSONALITY_INDUSTRIAL_CHEMIST;Industrial Chemist;Chimiste industriel;Chimico Industriale;Químico Industrial;Indutriechemiker;Chemik przemys³owy;;Õèìè÷åñêèé ïðîìûøëåííèê;;;X
DPERSONALITY_INDUSTRIAL_CHEMIST;The Industrial Chemist has a important position the chemical industry. He uses his knowledge to develop new substances, processes and products and to increase scientific knowledge.;Le chimiste industriel a une place importante dans l'industrie de la chimie. Il peut utiliser ses compétences pour développer de nouvelles substances, procédés et améliorer la connaissance scientifique.;Il chimico industriale ha una posizione di rilievo nell'industria chimica. Egli usa la sua conoscenza per sviluppare nuove sostanze, processi e prodotti e ad accrescere la conoscenza scientifica.;El Químico Industrial tiene una posición importante de la industria química. Utiliza sus conocimientos para desarrollar nuevas sustancias, procesos y productos y para aumentar el conocimiento científico.;Der Indutriechemiker ist eine wohlbekannte und wichtige Person in der Chemiebranche. Er benutzt seine Kenntnisse, um neue Substanzen und Produkte zu entwickeln und die wissenschaftliche Basis zu vergrössern.;Chemik przemys³owy ma wa¿n¹ funkcjê w przemyœle chemicznym swego kraju. U¿ywa swej wiedzy do produkcji wci¹¿ nowych substancji i opracowywania nowych procesów i produktów wymagaj¹cych zaplecza naukowego.;;Õèìè÷åñêèé ïðîìûøëåííèê èãðàåò âàæíóþ ðîëü â õèìè÷åñêîé èíäóñòðèè. Îí èñïîëüçóåò ñâîè çíàíèÿ äëÿ ðàçðàáîòêè íîâûõ ñóáñòàíöèé, ïðîöåññîâ è ïðîäóêòîâ, ðàâíî êàê è äëÿ óâåëè÷åíèÿ íàó÷íûõ ðàçðàáîòîê. .;;;X
NPERSONALITY_MEDIA_MAGNATE;Media Magnate;Magnat des médias;Il magnate dei media;Magnate de los medios;Medienmogul;Magnat medialny;;Ìåäèàìàãíàò;;;X
DPERSONALITY_MEDIA_MAGNATE;The Media Magnate is a person with a dominant position in a media enterprise. He usually owns one or more newspapers or radio networks and can use them to influence the public opinion.;Le magnat des médias a une place importance dans une entreprise des médias. Il contrôle habituelle un ou plusieurs journaux ou radios et peut influencer l'opinion publique grâce à ceux-ci.;Il magnate dei media è una persona con una posizione dominante in una società mediatica. Egli possiede generalmente uno o più giornali o network radiofonici e li può utilizzare per influenzare l'opinione pubblica.;El magnate de los medios es una persona con una posición dominante en una empresa de medios de comunicación. Por lo general posee uno o más periódicos o cadenas de radio y las puedan utilizar para influir en la opinión pública.;Der Medienmogul ist eine wohlbekannte und wichtige Person in der Medienbranche. Im Normalfall besitzt er mehrere Zeitungen und Radiosender, mit denen er helfen kann, die Bevölkerung zu beeinflussen.;Magnat medialny to osoba z dominuj¹c¹ pozycj¹ w rozwijaj¹cym siê przemyœle medialnym. Zazwyczaj posiada jedn¹ lub kilka gazet i sieci radiowych i mo¿e u¿ywaæ ich do wp³ywania na opiniê publiczn¹.;;Ìåäèàìàãíàò ýòî ïåðñîíà ñ äîìèíèðóþùåé ïîçèöèåé íà ìåäèàðûíêå. Îí îáû÷íî âëàäååò îäíîé èëè íåñêîëüêèìè ãàçåòàìè èëè ñåòüþ ðàäèîñòàíöèé è ìîæåò èñïîëüçîâàòü èõ äëÿ âëèÿíèÿ íà îáùåñòâåííîå ìíåíèå.;;;X
NPERSONALITY_PLANNED_ECONOMY_PROPONENT;Planned Economy Proponent;Le Partisan d'une économie planifiée;Sostenitore di un'economia pianificata;Defensor de la economía planeada;Befürworter der Planwirtschaft;Zwolennik gospodarki planowej;;Ñòîðîííèê ïëàíîâîé ýêîíîìèêè;;;X
