#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
EVT_755818_DESC;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;President MacArthur who is even not President de iure has to make his mind up whetever he wants to throw away Constitution or to keep deprived of power the Senate and House of Representatives. First option would be really hard to accept for many Americans, including the most influential military officers and civilians. Creating the totalitarian state is tempting option but it can lead to great divisions in society. The second option leaves the democratic apperance and allow s MacArthur's junta to fully control the state. Counter-intelligence officials and secret police is warning us about rising discontent in many circles including the army, so perhaps it's the best to appear democratic !;;;x
EVT_755819_DESC;The time has come for a new general election. In 1932, Inukai and his Seiyukai gained an absolute majority in the Diet and successfully implemented policies without strong oppositions, but results from the 1936 general election showed declining support for Seiyukai from its voting base in rural areas as disputes in agricultural sector continued to arise, while its main opposition Kenseikai successfully reformed and reemerged itself as a rather progressive and liberal party, the Minseito (Democratic Party). Founded in 1933 as result of the 'legalization' tactic, a moderate socialist party Shakai Taishuto (Social Masses Party) also prepared to contest its first election for three years and expected to gain a foodhold in the Diet.;;;;;;;;;;x
# Straczynskis BRA events text;;;;;;;;;;;x
EVT_755002_DESC;Brazil's fragile First Republic has been on the brink of its end since her humiliating defeat by Argentina on last year's war. The apparent stability represented by the 'Café com Leite' doctrine - the dominance of Brazilian politics by the landed oligarchies of São Paulo and Minas Gerais - is revealing itself a farse, as general dissent against the federal government becomes more and more apparent. Old rivalries between different sectors of society are awaken. Unsatisfaction by the local elites of the South and Northeast against the government in Rio, and also by the industrialists in São Paulo, is growing. The 'cangaço' bandits, led by figures like Lampião and Corisco, are running rampant and harassing farmers in Ceará, Bahia and Pernambuco. The Brazilian Workers Confederation, an umbrella organization for the syndicalist movement, is sponsoring heavy labor strikes in the South-Southeast. Meanwhile, populist and nationalist thoughts are growing amongst the army and the middle class. Not even the armed forces can be trusted anymore: the 'Tenentes', the nonpartisan junior officers who organized the mutinies amongst the Army during the final stages of the war, can - and will - be mobilized by any side of the political spectrum. Emergency elections have been called for August, and some say that only a miracle can save democracy in Brazil.;;;;;;;;;;x
EVT_755003_DESC;This morning, the small city of Cruzeiro, São Paulo, was visited by the remaining leaders of the Brazilian Communist Party (PCB, Partido Comunista Brasileiro) as they organized their clandestine IV Party Congress. Founded in 1922 and much present on the very early days of the labour movement, the PCB is now a shadow of its former self, as a great part of its leaders and members have moved to other movements and parties, such as the Workers and Peasants Bloc (BOC, Bloco Operário e Camponês), the Brazilian Workers' Confederation (CBT, Confederação Brasileira dos Trabalhadores) and the Socialist Revolutionary Party (PSR, Partido Socialista Revolucionário). The strict adherence to the old Soviet Bolshevist doctrine by the party inner circle is seen by most as the main reason for its failure. With this in mind, the rump party voted by a great majority to dissolve itself and be absorved by the CBT. A small part of the old guard, however, led by Octávio Brandão, is keeping an eye on the developments of the Totalist ideas in Britain, and have already announced that the Party may be refounded on the near future.;;;;;;;;;;x
EVT_7550050_DESC;Due to the unstable political situation in our country, specially after our defeat on the Platine War, emergency elections have been called for the 1st of August. Four main coalitions are disputing: first, we have the Aliança Nacional Libertadora (ANL, National Liberation Alliance), a broad front for the left-wing parties, composed of the Socialist Revolutionary Party and the political sides of the BOC and CBT syndicates. Next, we have the Liberal-Democrats (Liberal-Democratas), an ad-hoc coalition of center-left and liberal forces under former president Júlio Prestes, politically-experienced and presenting themselves as a moderate alternative to the present situation. Further to the right we have the Republicans (Republicanos), an union of conservative parties, joining landowners and industrial capitalists with the right-wing forces of the military under the leadership of populist Getúlio Vargas. The fourth main coalition are the authoritarian Brazilian Integralist Action (AIB, Ação Integralista Brasileira), the nationalist and populist party under Plínio Salgado. After a very passionate campaign, the elections took place today. As the votes were counted, the next President of Brazil was announced...;;;;;;;;;;x
EVT_755006_DESC;Despite all of the setbacks we have suffered on the previous years, the Aliança Nacional Libertadora grand coalition has managed to elect Edgard Frederico Leuenroth, of the Socialist Revolutionary Party, as the next president of Brazil. The fifty-five year old journalist and long-time anarchist was one of the organizers of the general strikes in São Paulo in 1917-1919, helping establish the anarcho-syndicalist movement in the country. He was seen, thus, by the ANL leadership, as their obvious candidate for the presidency. And today is his inauguration day! Despite what some purists think, we may be forced to work on a coalition with some left-wing elements of Liberal-Democrats to appease some parts of the middle classes. A much more palatable solution for us would be asking the left-wing Tenentes into our coalition. Others, however, still think we can handle the whole government all by ourselves.;;;;;;;;;;x
EVT_755007_DESC;At least until we enact a new constitution, the President of Brazil acts as Head of State, although real power must be shared with his Chief Minister of the Presidency (Ministro-Chefe da Casa Civil). He is responsible for assisting the President, overseeing all cabinet requests and bureaucratic procedures involving the Presidency, and is also responsible for negotiations with the state governments, with both houses of the Congress and with the remaining Ministers. All the three main parties of the ANL have put forward their own candidates for the post. Lívio Xavier of the BOC, Astrogildo Pereira of the CBT, and João da Costa Pimenta of the PSR. So, who shall we choose?;;;;;;;;;;x
EVT_755008_DESC;We were assured that the Brazilian people still believes on democracy. Júlio Prestes, president from 1930 to 1934, will return to office. Despite all the mess which has been brought to the country by the incompetence of the present government and by extremists from the right and left, the very institutions upon which the Federative Republic has been laid down were not shaken. And we know democracy is all about negotiating and laying alliances, right? Some parts of our bloc believe in asking the center-left elements of the military into our coalition, which will appease the armed forces. Others, however, think that inviting Getúlio Vargas and his Republicans would calm down the landowners and other conservative forces. So, what shall we choose?;;;;;;;;;;x
EVT_755009_DESC;Although the President of Brazil acts as Head of State, real power must be shared with his Chief Minister of the Presidency (Ministro-Chefe da Casa Civil). He is responsible for assisting the President, overseeing all cabinet requests and bureaucratic procedures involving the Presidency, and is also responsible for negotiations with the state governments, with both houses of the Congress and with the remaining Ministers. Our bloc has put forward three different candidates for the post. Washington Luís, president from 1926 to 1930, supported Júlio Prestes both on his 1930 campaign and on this year, so he would be a most likely choice. Two other candidates must also be considered, however: former Piauí governor Olímpio de Melo and Borges de Medeiros, the traditional gaúcho politician. Choosing a chief of staff from a smaller state, instead of the paulista Washington Luís, would grant us a greater support base among the traditionalist classes, altough we will miss the former president's political expertise.;;;;;;;;;;x
EVT_755010_DESC;Tradition has scored a victory. The people of Brazil has chosen Getúlio Vargas of the Republican bloc as the new president. Coming from a traditional rancher family of the southern Pampas, Vargas was seen by his coalition as a compromise candidate, appeasing the landowners from the South, Southeast and Northeast, the industrial bourgeoisie and, thanks to him states rights platform, the whole range of conservative forces. Plus, his populist speeches also seduced a portion of the proletariat, thanks to his promises of new labour laws and a more efficient social security system. Now, for a even more effective governing of Brazil, we must consider some political alliances with the other voting blocs. Should Vargas attempt a deal with the right-wing Tenentes led by Eurico Gaspar Dutra, his old friend from his time on the army? Some, however, are dreaming about a coalition with the nationalist Ação Integralista Brasileira. Despite the obvious differences between the pro-states rights Republicanos and the autoritharian AIB, some of their policies are perfectly compatible with ours. Plus, this would mean a greater support from the middle classes.;;;;;;;;;;x
EVT_755011_DESC;In Brazil, at least until we enact a new constitution, the President acts as Head of State, although real power must be shared with his Chief Minister of the Presidency (Ministro-Chefe da Casa Civil). He is responsible for assisting the President, overseeing all cabinet requests and bureaucratic procedures involving the Presidency, and is also responsible for negotiations with the state governments, with the ministers and with both houses of the Congress. Our bloc has put forward three different candidates for the post. Former governor of São Paulo, Altino Arantes, would surelly appease the industrialist classes and the coffee breeders of the state. Another good choice would be Eurico Gaspar Dutra, Vargas old friend from the army and one of the few succesfull leaders of the war against Argentina. Finally, if we want to please the oligarchs from the Northeast, Paraíba governor João Pessoa would be the ideal candidate.;;;;;;;;;;x
EVT_755012_DESC;The people of Brazil has chosen a change - Plínio Salgado is the new president! No more politics will be dominated by the interests of a small ruling class! We are also fed up of harassing by the syndicalist bandits! This decadent and unpopular government will be rebuilt from scratch according to our ideology. However, it would be wise to form a coalition government with like-minded politicians... Inviting the more far-right elements of the armed forces would be a nice move, according to some. Others, however, believe in striking a deal with Getúlio Vargas' Republicans - their populist ideas actually match several points of our own agenda!;;;;;;;;;;x
EVT_755013_DESC;At least until we enact a new constitution, the President of Brazil acts as Head of State, although real power must be shared with his Chief Minister of the Presidency (Ministro-Chefe da Casa Civil). He is responsible for assisting the President, overseeing all cabinet requests and bureaucratic procedures involving the Presidency, and is also responsible for negotiations with the state governments, with the ministers and with both houses of the Congress. The AIB has put forward two different candidates for the post. The party's favourite is Gustavo Barroso, the political theorist responsible for much of the Integralist doctrine. Another option would be Euclides Figueiredo, the former army colonel.;;;;;;;;;;x
EVT_755014_DESC;Brazil was hit hard by the Berlin Stock Market Crash, as the country has a heavy dependence on foreign markets and loans. Despite the industrial development in São Paulo, the export of coffee and other primary products is still the mainstay of the economy. Days after the Berlin stock market crash, coffee quotations immediately fell 30 percent. Now, while we still are the government of Brazil, we must take a decision. Sticking to the principles preached by the foreign bankers may preserve our economy from some of the worse effects of the crisis, but will anger the people even more. However, suspending the convertibility of the Real and the Papiermark would be disastrous for our economy and foreign trade.;;;;;;;;;;x
EVT_755017_DESC;We will now face our first challenge: how to deal with the current economical crisis? Our cabinet believes that the first steps must be taken on the fields. Since the beggining of the Berlin panic, world demand for our agricultural products has fallen dramatically, and the grand landowners (mainly the sugar and coffee barons) are struck with unsellable harvests. Soon more and more poor peasants will either starve or look for better opportunities in the cities, while the landowners will take the opportunity to blame the federal government for not helping them out of the mess. We could use this opportunity to initiate a broad land reform programme, but the landowners (especially the northeastern coronéis) would of course raise their voices.;;;;;;;;;;x
EVT_755019_DESC;Two years ago, as the war against Argentina was still ongoing and the first mutinies were ecloding, Luís Carlos Prestes led a batallion of some two hundred like-minded officers and corporals away from the frontlines. Influenced by syndicalist ideals, the group spent the following years travelling across Brazil on horseback, speaking to the crowds about the futility of the war and spreading the word of social justice, while also fleeing from chasing police, army regulars and, specially in the northeastern states, from paramilitary units of jagunços, the coronéis' thugs. The 'Prestes Column', as the group came to be known, camped from January to September 1935 on the hinterlands of Bahia, Pernambuco, Paraíba, Ceará and Piauí, seeing with their own eyes the harsh and miserable life of the poor sertanejo peasants, a chapter of our recent history that is seen as the birth of the left-tenentista movement. Now, as the syndicalist government of Brazil has announced their plans for an extensive land reform programme, Prestes has offered his services to us and will lead a new two-months-long survey mission to Bahia and Ceará, thus helping the comission to better implement their new policies and adapt them to the regional necessities.;;;;;;;;;;x
EVT_755020_DESC;Two years ago, as the war against Argentina was still ongoing and the first mutinies were ecloding, Luís Carlos Prestes led a batallion of some two hundred like-minded officers and corporals away from the frontlines. Influenced by syndicalist ideals, the group spent the following years travelling across Brazil on horseback, speaking to the crowds about the futility of the war and spreading the word of social justice, while also fleeing from chasing police, army regulars and, specially in the northeastern states, from paramilitary units of jagunços, the coronéis' thugs. The 'Prestes Column', as the group came to be known, spent from January to September 1935 on the hinterlands of Bahia, Pernambuco, Paraíba, Ceará and Piauí, seeing with their own eyes the harsh and miserable life of the poor sertanejo peasants, a chapter of our recent history that is seen as the birth of the left-tenentista movement. Now, as the syndicalist government of Brazil has announced their plans for an extensive land reform programme, Prestes, currently our Chief Minsiter, has offered his intention of leading a new two-months-long survey mission to Bahia and Ceará, thus helping the comission to better implement their new policies and adapt them to the regional necessities. However, Prestes needs our approval before departing on this new adventure.;;;;;;;;;;x
EVT_755021_DESC;Today, the 'Prestes Column' approached the city of Juazeiro, Ceará, where they were greeted on the outskirts of the city by a band of a few dozen cangaceiros under the command of Lampião, so-called the 'King of Cangaço'. On their constant fighting against the landowners' thugs, sometimes for their own personal glory, sometimes for a sincere protection of the poorer peasants, labeled either as heroes or bandits, the cangaceiros are an integral part of the complex social-political landscape of the northeastern states. One of the column's members, a devoted Marxist of the PSR, lectured both the Coluna and the cangaceiros on how the movement can be seen as an spontaneous revolutionary movement of the poor men and women against the feudal opression of the coronéis. Thus, he continues, if we could introduce the cangaço bands to the ANL programmes, they could serve us very well on political brawls against the conservative landowners of these states.;;;;;;;;;;x
EVT_755022_DESC;After a two-months long journey across Bahia and Ceará, the second 'Prestes Column' made a triumphal return to our capital today. Luís Carlos Prestes himself made a long speech in downtown Rio de Janeiro sharing the adventures of his companions with the passer-bys. He stressed that, while the life of the northeastern peasant is still much harsh, they have much expectation now that the ANL has assumed power. Prestes then proceeded to the Palácio do Catete, where he presented his finds and suggestions to the land reform comission.;;;;;;;;;;x
EVT_755023_DESC;After a two-months long journey across Bahia and Ceará, the second 'Prestes Column' made a triumphal return to our capital today. Luís Carlos Prestes himself made a long speech in downtown Rio de Janeiro sharing the adventures of his companions with the passer-bys. He stressed that, while the life of the northeastern peasant is still much harsh, they have much expectation now that the ANL has assumed power. Prestes then proceeded to the Palácio do Catete, where he presented his finds and suggestions to the land reform comission. After that, he reassumed his post as Chief Minister.;;;;;;;;;;x
EVT_755024_DESC;After dozens of surveys during the past months, a comission made up of members of the BOC, CBT and PSR, led by Minervino de Oliveira, has produced a white paper detailing three main plans for agrarian reform in Brazil. 'Plan A', defended by the BOC, proposes the collectivization of all arable land and their reorganization into smallers plots, headed by the peasants themselves, who will then organize and combine into cooperatives to sell their produce. The CBT-supported 'Plan B' sees the confiscation of all land by the federal government and its reorganization into grand state farms employing the majority of the rural population. There's still one more possibility, the 'Plan C' defended by the PSR. This third, more moderate option, proposes the collectivization of all the bigger farms and lands, while leaving the medium-sized and smaller lands still as private property. Plan C also defends the confiscation of unused plots and their reorganization into cooperatives - a system similar to the Ejidos adopted by Mexico after their revolution. Any of these options will make the big landowners complain, of course, but we must stick to our plans if we want the betterment of Brazil!;;;;;;;;;;x
EVT_755025_DESC;A group of coronéis - the traditional landed oligarchs of the northeastern states - has met today in Fortaleza, Ceará, and delivered a letter to the state governor to be handed to the President. On this document, they express their concern over 'the takeover of Brazil by socialist bandits' and promise to fight for the integrity of their lands. They also spoke on the 'supposed' support of the local peasants to the land reform. In fact, they say, most of the poorer farmers actually feel protected under the patronage of the coronéis!;;;;;;;;;;x
EVT_755027_DESC;The landed oligarchs of São Paulo have presented us with an issue. With coffee prices falling day by day on the international markets, these farmers are filling their warehouses with more and more unsellable harvests. According to our economists, if we don't act now, the deepening agricultural crisis will end up affecting not only the grand farmers, but also the poorer peasants that have just been benefited through our programmes.;;;;;;;;;;x
EVT_755029_DESC;News of the compromise between the elites and the government against the peasants of Brazil, who were expecting a broad land reform programme, has already reached the streets. Discontent is much apparent. Over the last few days, a sector of Tenentista officers of our army, under the leadership of Luís Carlos Prestes and Isidoro Dias Lopes, has been setting up a plan to overthrow Edgard Leuenroth and, with this, 'save the socialist project for Brazil from being aborted by an weak, uncommited and incompetent president'. News of this growing conspiracy have already reached some parts of our cabinet. Now, how should our government act? We can't simply dismiss Prestes from the army, as that would bring the whole armed forces against the government. We could, instead, remove him from his present post and relocate him to some remote station... That would be enough of a punishment for him and would save everyone from any major scandal. Or we could embrace his conspiracy and put him on the presidency.;;;;;;;;;;x
EVT_755030_DESC;Army units all over the country have been mobilized over the past few hours as news of the launching of a military coup under captain Luís Carlos Prestes and general Isidoro Dias Lopes have reached the barracks. The uprising started in São Paulo, as troops occupied police stations and the main public buildings, a move that soon followed on all the capitals and major cities. In Rio de Janeiro, president Edgard Leuenroth fled to the mountain areas of the state with his cabinet, while Prestes and Isidoro entered the Palácio do Catete. Prestes and Isidoro then delivered a long speech before the Senate announcing the formation of a new provisional military government, which 'will keep Brazil on its course to progress and socialism, without fearing the ramblings of the reactionary elites'.;;;;;;;;;;x
EVT_755031_DESC;The coronéis and other conservative forces in the northeastern states are increasingly uncooperative against our reform programmes and are becoming more vocal opponents of the federal government in Rio de Janeiro. This morning, representatives of the Land Reform Comission approached one of the farms of famous coronel Chico Heráclio, in Limoeiro, eastern Pernambuco. As these federal represantatives informed the coronel of the government's decision to confiscate those lands, they were attacked by a band of his armed thugs! Of the ten men and women of the group, six managed to flee on horseback, while one was shot and killed by the jagunços and the remaining three are held in captivity. Some members of our cabinet believe that a heavy response to the situation in Limoeiro is just what we need to keep the coronéis in line. With the Força Pública (the Pernambuco State Police) still under their control, we may need to form a detachment of a few dozen men from our regular army and send them to Chico Heráclio's lands. Alternatively, given that a small band of Lampião's cangaceiros are approaching that city, this also could be a chance to test their loyalty to us. Some ministers, however, think that any harsh action will only trigger more unrest from these still strong conservative forces.;;;;;;;;;;x
EVT_755032_DESC;The coronéis and other conservative forces in the northeastern states are increasingly uncooperative against our reform programmes and are becoming more vocal opponents of the federal government in Rio de Janeiro. This morning, representatives of the Land Reform Comission approached one of the farms of famous coronel Chico Heráclio, in Limoeiro, eastern Pernambuco. As these federal represantatives informed the coronel of the government's decision to confiscate those lands, they were attacked by a band of his armed thugs! Of the ten men and women of the group, six managed to flee on horseback, while one was shot and killed by the jagunços and the remaining three are held in captivity. Some members of our cabinet believe that a heavy response to the situation in Limoeiro is just what we need to keep the coronéis in line. With the Força Pública (the Pernambuco State Police) still under their control, we may need to form a detachment of a few dozen men from our regular army and send them to Chico Heráclio's lands. Some ministers, however, think that any harsh action will only trigger more unrest from these still strong conservative forces.;;;;;;;;;;x
EVT_755033_DESC;The 40-strong army detachment led by captain Juarez Távora sent to deal with the hostage crisis in Limoeiro, Pernambuco, has suceeded in their mission! Having arrived on Recife the previous night, the men moved northwest to Chico Heráclio's ranch. After a quick gunfight which left five of his jagunços dead, the remaining thugs surrendered. The hostages - two men and one woman - were freed and finally proceeded to deliver their eviction note to Heráclio, who was then arrested. This farm, formerly a land of exploitation, will be plowed by his own former employees. Now that we have shown the coronéis our force and will to defend our ideals, the land reforms will go on untroubled. However, we must decide now on how to deal with the conservative state governments. Should we replace these governors with our own appointed Federal Interventors? Or maybe it would be wiser to hold a grand conference with them?;;;;;;;;;;x
EVT_755034_DESC;The 40-strong army detachment led by captain Juarez Távora sent to deal with the hostage crisis in Limoeiro, Pernambuco, has failed in their mission! Having arrived on Recife the previous night, the mission probably fell victim of an informant. As the men moved northwest to Chico Heráclio's ranch, a band of thirty jagunços shot on our surprised troops! Ten of our men died on the scene, and a fierce gunfight ensued, in which twelve of the thugs fell. An advanced party ran to the farmhouse only to find the three hostages - two men and one woman - dead and Chico Heráclio fleeing to the hinterlands. We have been humiliated! Not only that, but now he have to deal with the conservative state governors who take us responsible for the bloodbath!;;;;;;;;;;x
EVT_755035_DESC;While Lampião and his band were approaching the city of Limoeiro, they were attacked by a small patrol of the Força Pública. The ill-prepared policemen, however, were no match for the cangaceiros, who proceeded to take control of the local police station and remaining public buildings. Meanwhile, the main force of thirty men under Lampião himself advanced towards Chico Heráclio's ranch, and a quick gunfight with the jagunços followed. Two of the cangaceiros fell on the scene, but they managed to kill or capture all thirty of Heráclio's thugs. Another five of Lampião's men raided the main farmhouse, where they found the three hostages - two men and one woman. As they were approaching one of the rooms to apprehend Chico Heráclio, the farmer shot the cangaceiros with his own revolver and hit two before being killed. Despite the bloodshed, the cangaceiros' raid was a success. This farm, formerly a land of exploitation, will be plowed by Heráclio's own former employees. Plus, we are now sure of the loyalty of Lampião and his men to our agenda. Now that we have shown the coronéis our force and will to defend our ideals, our land reforms will go on untroubled. However, we must decide now on how to deal with the conservative state governments. Should we replace these governors with our own appointed Federal Interventors? Or maybe it would be wiser to hold a grand conference with them?;;;;;;;;;;x
EVT_755036_DESC;Representatives of the Ministry of Agriculture met today in Recife with a delegation of state governors led by Pernambuco's Carlos de Lima Cavalcanti. The central government demands a greater cooperation of the conservative forces to our socialist reforms - something that the reactionaries find an insult. The governors, on the other hand, want less pressure from Rio and the option to a less severe application of the land reforms. With this conservative initiative receiving more and more support from the northeastern elites, any concession may be seen as a threat to our progressive policies and will be regarded by other sectors of society as a sign of weakness by our government.;;;;;;;;;;x
EVT_755037_DESC;The conference between the Federal and State governments held for the past days in Recife has yield results. The representatives of the Ministry of Agriculture have agreeded on a more relaxed version of the Land Reform Programmes for the northeastern states, something that will allow the coronéis to retain a lot of their political power. In return, the conservative forces who rule these states will remain silent on our future measures, such as the industrial reforms and social programmes.;;;;;;;;;;x
EVT_755038_DESC;It's been almost an year since the beginning of the Berlin Crisis but, despite our best efforts, the effects of the horrible decisions of the previous government are still being felt by the Brazilian public. Unemployment is still rising, companies are going bankrupt every day and capital is fleeing our country. This is the right time to introduce socialist measures to the economy - just like we have done to agriculture. The people are awaiting our decision.;;;;;;;;;;x
EVT_755039_DESC;Some local and foreign investors have been looking towards our public companies. Most Brazilian industries are owned by the private initiative, but the federal and state governments do control some key areas, such as the national banks, the harbours, and some electricity and water distribution companies. Some economists say that these enterprises are somewhat of a money drain to the state, big and unnefective companies diverting capital that would see better use in other areas. So, why don't we share these troubles with the private initiative? We could promote the establishment of public-private partnerships and make some of our companies into mixed-capital ventures. That way, we could use the expertise of the industrial capitalists but work them on a socialist framework. Orthodox Marxist economists, however, defend that we should keep these companies entirelly with us, since they were established with taxpayers money and thus belong to the people and the state of Brazil.;;;;;;;;;;x
EVT_755040_DESC;With a great deal of private companies going bankrupt, unemployment is rising in Brazil. We should be assuming control of these enterprises before their bad handling harm our economy even more! An alternative would be promoting the establishment of public-private partnerships and making some of these companies into mixed-capital ventures. That way, we could use the expertise of the industrial capitalists but work them on a socialist framework.;;;;;;;;;;x
EVT_755041_DESC;Some members of our coalition are debating who is the best man to head the Ministry of Industry and Armaments during these present economical reforms. The PSR has put forward their own Manuel Cendón, who defends that these new revenues must be invested into military supplies. Elias Iltchenco, of the BOC, suggests that this coming capital has to be transformed into more industrial capacity and the researching of new manufacturing methods. The CBT's Hermogênio da Silva Fernandes, however, defends that we should increase our investiments into military research.;;;;;;;;;;x
EVT_755042_DESC;It's already been some time since we have started implementing our new economic policies, but they have yet yield little result. Unemployment rates still haven't dropped, while the increase in industrial output has been minimal. We are even starting to lose support amongst our own powerbase! The CBT syndicate has organized a four-hour-long strike in Rio de Janeiro demanding a review of these policies. Minervino de Oliveira, a leading figure of the CBT, proposes the transformation of more companies into cooperatives. According to him, if we give up some control of our companies and divert these responsabilities to the factory managers and to the workers themselves, they will come up with smartest decisions - better than handling every single local problem to a bureaucrat far away in Rio! Some parts of our cabinet, including our Minister of Industry, believe instead in increasing state control over these companies.;;;;;;;;;;x
EVT_755043_DESC;A group of southeastern industrialists led by Cicillo Matarazzo has organized a token resistance against our industrial reforms. Much like the norhteastern coronéis in the past attempted to block the entrance of our federal employees to their farms, representatives of the Ministry of Industry are being prohibited from entering factories in São Paulo and Rio de Janeiro by private security personel. Matarazzo is attempting to force us to the table for terms more favorable for him and his friends.;;;;;;;;;;x
EVT_755044_DESC;Our government has decided on holding a conference with Cicillo Matarazzo and other industrialist businessmen. It is hoped that we will be able to finally reach an agreement and continue our industrial reforms unimpeded. Matarazzo hopes to convince us to slow down the pace of these reforms, however - this will be seen as a sign of weakness of our part, and may lead to these industrialists making more unacceptable demands in the future.;;;;;;;;;;x
EVT_755045_DESC;Our loyal proletarians have reported an outrageous finding! A number of foreign-owned factories in São Paulo have been dismantled over the past nights. Heavy industrial equipment owned mainly by the conglomerates of Cicillo Matarazzo and Percival Farquhar is currently being dispatched by truck and train towards the port of Santos and from there will follow by ship to Matarazzo's homeland, the present-day Italian Federation. Our security services are positioned on the harbor and expect an order from the federal government. Seizing this material and returning it to São Paulo is the most obvious choice, but it may lead to a heavy diplomatic incident with Italy.;;;;;;;;;;x
EVT_755047_DESC;One of our congressmen, famous for his anti-clericalism, has proposed that we should start taxing church property. This would give us a new source of revenue. After all, why should a tyranical and reactionary institution like the Catholic Church have any special concessions from our socialist government? However, Dom Duarte Leopoldo e Silva, the arcbishop of São Paulo, has already announced this initiative would draw a huge opposition from both the Church and the Brazilian Catholics.;;;;;;;;;;x
EVT_755048_DESC;The coffee planters of São Paulo have approached us. Due to the Berlin crisis, coffee prices are falling day by day on the international markets, and farms in the other southern states are filling their warehouses with more and more unsellable harvests. According to our economists, if we don't do something, the agricultural crisis will get worse and will soon affect other sectors of the economy. But there's no doubt the farmers' wishes will be granted - they are Júlio Prestes' powerbase, after all!;;;;;;;;;;x
EVT_755051_DESC;Some local and foreign investors have been looking towards our public companies. Most of the Brazilian industries are owned by the private initiative, but the federal and state governments do control some key companies, such as the national banks, the harbours, and some electricity and water distribution companies. A few experts say that these enterprises are a huge money drain to the state, diverting capital that would see better use in other areas, so we should privatize them. This, however, would increase costs for the final consumer, making life even harder for the people. Other economists, however, defend that we should keep these companies with us, since they were established with taxpayers money and thus belong to the people and the state of Brazil. A third option would be holding the key companies (the banks, for instance) and promoting the establishment of public-private partnerships and making some of our companies into mixed-capital ventures.;;;;;;;;;;x
EVT_755056_DESC;A militant socialist group linked to the BOC syndicate has invaded a farm in the city of Maringá, Paraná. The group, led by anarchist Elias Iltchenco, demands the seizing of those lands and its division amongst themselves, 'landless and homeless workers and peasants, the only ones who actually depend on the land to live and labour'. Some say we could fold in to their demands and distribute them those lands as a gesture of goodwill, although giving in to the demands of socialist bandits would certainly drive our supporters mad. Most of our cabinet says we should simply send in the batons and disperse them out of the farm. A too great display of violence, however, would surelly antagonize some sectors of society.;;;;;;;;;;x
