##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV1596;Hollandia;Hollandia;Hollandia;Hollandia;Hollandia;Hollandia;;;;;X
PROV1597;Merauke;Merauke;Merauke;Merauke;Merauke;Merauke;;;;;X
PROV1598;Birab;Birab;Birab;Birab;Birab;Birab;;;;;X
PROV1599;Manoekwari;Manoekwari;Manoekwari;Manoekwari;Manoekwari;Manoekwari;;;;;X
PROV1600;Fak-Fak;Fak-Fak;Fak-Fak;Fak-Fak;Fak-Fak;Fak-Fak;;;;;X
PROV1601;Wakia;Wakia;Wakia;Wakia;Wakia;Wakia;;;;;X
PROV1602;Lae;Lae;Lae;Lae;Lae;Lae;;;;;X
PROV1603;Mount Hagen;Mount Hagen;Mount Hagen;Mount Hagen;Mount Hagen;Mount Hagen;;;;;X
PROV1604;Popondetta;Popondetta;Popondetta;Popondetta;Popondetta;Popondetta;;;;;X
PROV1605;Wewak;Wewak;Wewak;Wewak;Wewak;Wewak;;;;;X
PROV1606;Daru;Daru;Daru;Daru;Daru;Daru;;;;;X
PROV1607;Port Mosby;Port Mosby;Port Mosby;Port Mosby;Port Mosby;Port Mosby;;;;;X
PROV1608;Kiunga;Kiunga;Kiunga;Kiunga;Kiunga;Kiunga;;;;;X
PROV1609;Kerema;Kerema;Kerema;Kerema;Kerema;Kerema;;;;;X
PROV1610;Mendi;Mendi;Mendi;Mendi;Mendi;Mendi;;;;;X
PROV1611;Male;Male;Male;Male;Male;Male;;;;;X
PROV1612;Karavatti;Karavatti;Karavatti;Karavatti;Karavatti;Karavatti;;;;;X
PROV1613;West Island;West Island;West Island;West Island;West Island;West Island;;;;;X
PROV1614;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;;;;;X
PROV1615;Flores;Flores;Flores;Flores;Flores;Flores;;;;;X
PROV1616;Koepang;Koepang;Koepang;Koepang;Koepang;Koepang;;;;;X
PROV1617;Dili;Dili;Dili;Dili;Dili;Dili;;;;;X
PROV1618;Aru;Aru;Aru;Aru;Aru;Aru;;;;;X
PROV1619;Yamdena;Yamdena;Yamdena;Yamdena;Yamdena;Yamdena;;;;;X
PROV1620;Halmahera;Halmahera;Halmahera;Halmahera;Halmahera;Halmahera;;;;;X
PROV1621;Buru;Buru;Buru;Buru;Buru;Buru;;;;;X
PROV1622;Ceram;Ceram;Ceram;Ceram;Ceram;Ceram;;;;;X
PROV1623;Longmerah;Longmerah;Longmerah;Longmerah;Longmerah;Longmerah;;;;;X
PROV1624;Kuching;Kuching;Kuching;Kuching;Kuching;Kuching;;;;;X
PROV1625;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;;;;;X
PROV1626;Jesselton;Jesselton;Jesselton;Jesselton;Jesselton;Jesselton;;;;;X
PROV1627;Tarakan;Tarakan;Tarakan;Tarakan;Tarakan;Tarakan;;;;;X
PROV1628;Bakon;Bakon;Bakon;Bakon;Bakon;Bakon;;;;;X
PROV1629;Singkawang;Singkawang;Singkawang;Singkawang;Singkawang;Singkawang;;;;;X
PROV1630;Sampit;Sampit;Sampit;Sampit;Sampit;Sampit;;;;;X
PROV1631;Poentianak;Poentianak;Poentianak;Poentianak;Poentianak;Poentianak;;;;;X
PROV1632;Balikpapan;Balikpapan;Balikpapan;Balikpapan;Balikpapan;Balikpapan;;;;;X
PROV1633;Bandjarmasin;Bandjarmasin;Bandjarmasin;Bandjarmasin;Bandjarmasin;Bandjarmasin;;;;;X
PROV1634;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;Pakan Baharoe;;;;;X
PROV1635;Djambi;Djambi;Djambi;Djambi;Djambi;Djambi;;;;;X
PROV1636;Palembang;Palembang;Palembang;Palembang;Palembang;Palembang;;;;;X
PROV1637;Padang;Padang;Padang;Padang;Padang;Padang;;;;;X
PROV1638;Bengkulu;Bengkulu;Bengkulu;Bengkulu;Bengkulu;Bengkulu;;;;;X
PROV1639;Bangka;Bangka;Bangka;Bangka;Bangka;Bangka;;;;;X
PROV1640;Koeta-Radja;Koeta-Radja;Koeta-Radja;Koeta-Radja;Koeta-Radja;Koeta-Radja;;;;;X
PROV1641;Oosthaven;Oosthaven;Oosthaven;Oosthaven;Oosthaven;Oosthaven;;;;;X
PROV1642;Medan;Medan;Medan;Medan;Medan;Medan;;;;;X
PROV1643;Bali;Bali;Bali;Bali;Bali;Bali;;;;;X
PROV1644;Sumbawa;Sumbawa;Sumbawa;Sumbawa;Sumbawa;Sumbawa;;;;;X
PROV1645;Waingapoe;Waingapoe;Waingapoe;Waingapoe;Waingapoe;Waingapoe;;;;;X
PROV1646;Tjilatjap;Tjilatjap;Tjilatjap;Tjilatjap;Tjilatjap;Tjilatjap;;;;;X
PROV1647;Batavia;Batavia;Batavia;Batavia;Batavia;Batavia;;;;;X
PROV1648;Tjilegon;Tjilegon;Tjilegon;Tjilegon;Tjilegon;Tjilegon;;;;;X
PROV1649;Tjirebon;Tjirebon;Tjirebon;Tjirebon;Tjirebon;Tjirebon;;;;;X
PROV1650;Semarang;Semarang;Semarang;Semarang;Semarang;Semarang;;;;;X
PROV1651;Bandoeng;Bandoeng;Bandoeng;Bandoeng;Bandoeng;Bandoeng;;;;;X
PROV1652;Rembang;Rembang;Rembang;Rembang;Rembang;Rembang;;;;;X
PROV1653;Soerabaja;Soerabaja;Soerabaja;Soerabaja;Soerabaja;Soerabaja;;;;;X
PROV1654;Jogjakarta;Jogjakarta;Jogjakarta;Jogjakarta;Jogjakarta;Jogjakarta;;;;;X
PROV1655;Malang;Malang;Malang;Malang;Malang;Malang;;;;;X
PROV1656;Madura;Madura;Madura;Madura;Madura;Madura;;;;;X
PROV1657;Makassar;Makassar;Makassar;Makassar;Makassar;Makassar;;;;;X
PROV1658;Kendari;Kendari;Kendari;Kendari;Kendari;Kendari;;;;;X
PROV1659;Manado;Manado;Manado;Manado;Manado;Manado;;;;;X
PROV1660;Paloe;Paloe;Paloe;Paloe;Paloe;Paloe;;;;;X
PROV1661;Iwo Jima;Iwo Jima;Iwo Jima;Iwo Jima;Iwo Jima;Iwo Jima;;;;;X
PROV1662;Chichi Jima;Chichi Jima;Chichi Jima;Chichi Jima;Chichi Jima;Chichi Jima;;;;;X
PROV1663;Motoyama;Motoyama;Motoyama;Motoyama;Motoyama;Motoyama;;;;;X
PROV1664;Mount Suribachi;Mount Suribachi;Mount Suribachi;Mount Suribachi;Mount Suribachi;Mount Suribachi;;;;;X
PROV1665;Ponape;Ponape;Ponape;Ponape;Ponape;Ponape;;;;;X
PROV1666;Kusaie;Kusaie;Kusaie;Kusaie;Kusaie;Kusaie;;;;;X
PROV1667;Truk;Truk;Truk;Truk;Truk;Truk;;;;;X
PROV1668;Wolelai;Wolelai;Wolelai;Wolelai;Wolelai;Wolelai;;;;;X
PROV1669;Yap;Yap;Yap;Yap;Yap;Yap;;;;;X
PROV1670;Palau;Palau;Palau;Palau;Palau;Palau;;;;;X
PROV1671;Kloulklubed;Kloulklubed;Kloulklubed;Kloulklubed;Kloulklubed;Kloulklubed;;;;;X
PROV1672;Minami Torima;Minami Torima;Minami Torima;Minami Torima;Minami Torima;Minami Torima;;;;;X
PROV1673;Wake;Wake;Wake;Wake;Wake;Wake;;;;;X
PROV1674;Bikini;Bikini;Bikini;Bikini;Bikini;Bikini;;;;;X
PROV1675;Eniwetok;Eniwetok;Eniwetok;Eniwetok;Eniwetok;Eniwetok;;;;;X
PROV1676;Kwajalein;Kwajalein;Kwajalein;Kwajalein;Kwajalein;Kwajalein;;;;;X
PROV1677;Majuro;Majuro;Majuro;Majuro;Majuro;Majuro;;;;;X
PROV1678;Makin;Makin;Makin;Makin;Makin;Makin;;;;;X
PROV1679;Abemama;Abemama;Abemama;Abemama;Abemama;Abemama;;;;;X
PROV1680;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;Tarawa;;;;;X
PROV1681;Wotje;Wotje;Wotje;Wotje;Wotje;Wotje;;;;;X
PROV1682;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;;;;;X
PROV1683;Guam;Guam;Guam;Guam;Guam;Guam;;;;;X
PROV1684;Rota;Rota;Rota;Rota;Rota;Rota;;;;;X
PROV1685;Saipan;Saipan;Saipan;Saipan;Saipan;Saipan;;;;;X
PROV1686;Pagan;Pagan;Pagan;Pagan;Pagan;Pagan;;;;;X
PROV1687;Funafuti;Funafuti;Funafuti;Funafuti;Funafuti;Funafuti;;;;;X
PROV1688;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;Carnarvon;;;;;X
PROV1689;Northam;Northam;Northam;Northam;Northam;Northam;;;;;X
PROV1690;Perth;Perth;Perth;Perth;Perth;Perth;;;;;X
PROV1691;Albany;Albany;Albany;Albany;Albany;Albany;;;;;X
PROV1692;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;;;;;X
PROV1693;Kalgoorlie;Kalgoorlie;Kalgoorlie;Kalgoorlie;Kalgoorlie;Kalgoorlie;;;;;X
PROV1694;Collie;Collie;Collie;Collie;Collie;Collie;;;;;X
PROV1695;Port Hedland;Port Hedland;Port Hedland;Port Hedland;Port Hedland;Port Hedland;;;;;X
PROV1696;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;;;;;X
PROV1697;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;;;;;X
PROV1698;Broome;Broome;Broome;Broome;Broome;Broome;;;;;X
PROV1699;Townsville;Townsville;Townsville;Townsville;Townsville;Townsville;;;;;X
PROV1700;Rockhampton;Rockhampton;Rockhampton;Rockhampton;Rockhampton;Rockhampton;;;;;X
PROV1701;Cairns;Cairns;Cairns;Cairns;Cairns;Cairns;;;;;X
PROV1702;Toowoomba;Toowoomba;Toowoomba;Toowoomba;Toowoomba;Toowoomba;;;;;X
PROV1703;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;Newcastle;;;;;X
PROV1704;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;Brisbane;;;;;X
PROV1705;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;;;;;X
PROV1706;Wollongong;Wollongong;Wollongong;Wollongong;Wollongong;Wollongong;;;;;X
PROV1707;Canberra;Canberra;Canberra;Canberra;Canberra;Canberra;;;;;X
PROV1708;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;;;;;X
PROV1709;Geelong;Geelong;Geelong;Geelong;Geelong;Geelong;;;;;X
PROV1710;Hobart;Hobart;Hobart;Hobart;Hobart;Hobart;;;;;X
PROV1711;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;Port Lincoln;;;;;X
PROV1712;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;Adelaide;;;;;X
PROV1713;Robe;Robe;Robe;Robe;Robe;Robe;;;;;X
PROV1714;Mount Isa;Mount Isa;Mount Isa;Mount Isa;Mount Isa;Mount Isa;;;;;X
PROV1715;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;Port Augusta;;;;;X
PROV1716;Alice Springs;Alice Springs;Alice Springs;Alice Springs;Alice Springs;Alice Springs;;;;;X
PROV1717;Wagga Wagga;Wagga Wagga;Wagga Wagga;Wagga Wagga;Wagga Wagga;Wagga Wagga;;;;;X
PROV1718;Napier;Napier;Napier;Napier;Napier;Napier;;;;;X
PROV1719;Hamilton;Hamilton;Hamilton;Hamilton;Hamilton;Hamilton;;;;;X
PROV1720;Auckland;Auckland;Auckland;Auckland;Auckland;Auckland;;;;;X
PROV1721;Wellington;Wellington;Wellington;Wellington;Wellington;Wellington;;;;;X
PROV1722;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;Christchurch;;;;;X
PROV1723;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;Dunedin;;;;;X
PROV1724;Manus;Manus;Manus;Manus;Manus;Manus;;;;;X
PROV1725;Kavieng;Kavieng;Kavieng;Kavieng;Kavieng;Kavieng;;;;;X
PROV1726;Rabaul;Rabaul;Rabaul;Rabaul;Rabaul;Rabaul;;;;;X
PROV1727;Kimbe;Kimbe;Kimbe;Kimbe;Kimbe;Kimbe;;;;;X
PROV1728;Suva;Suva;Suva;Suva;Suva;Suva;;;;;X
PROV1729;Labasa;Labasa;Labasa;Labasa;Labasa;Labasa;;;;;X
PROV1730;Mata'utu;Mata'utu;Mata'utu;Mata'utu;Mata'utu;Mata'utu;;;;;X
PROV1731;Apia;Apia;Apia;Apia;Apia;Apia;;;;;X
PROV1732;Nukunonu;Nukunonu;Nukunonu;Nukunonu;Nukunonu;Nukunonu;;;;;X
PROV1733;Pago Pago;Pago Pago;Pago Pago;Pago Pago;Pago Pago;Pago Pago;;;;;X
PROV1734;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;;;;;X
PROV1735;Kauai;Kauai;Kauai;Kauai;Kauai;Kauai;;;;;X
PROV1736;Hawaii;Hawaii;Hawaii;Hawaii;Hawaii;Hawaii;;;;;X
PROV1737;Maui;Maui;Maui;Maui;Maui;Maui;;;;;X
PROV1738;Johnston;Johnston;Johnston;Johnston;Johnston;Johnston;;;;;X
PROV1739;Midway;Midway;Midway;Midway;Midway;Midway;;;;;X
PROV1740;Rikitea;Rikitea;Rikitea;Rikitea;Rikitea;Rikitea;;;;;X
PROV1741;Roto;Roto;Roto;Roto;Roto;Roto;;;;;X
PROV1742;Avarua;Avarua;Avarua;Avarua;Avarua;Avarua;;;;;X
PROV1743;Papeete;Papeete;Papeete;Papeete;Papeete;Papeete;;;;;X
PROV1744;Taiohae;Taiohae;Taiohae;Taiohae;Taiohae;Taiohae;;;;;X
PROV1745;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;Jarvis Island;;;;;X
PROV1746;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;;;;;X
PROV1747;Palmyra;Palmyra;Palmyra;Palmyra;Palmyra;Palmyra;;;;;X
PROV1748;Alofi;Alofi;Alofi;Alofi;Alofi;Alofi;;;;;X
PROV1749;Nuku'alofa;Nuku'alofa;Nuku'alofa;Nuku'alofa;Nuku'alofa;Nuku'alofa;;;;;X
PROV1750;Kanton;Kanton;Kanton;Kanton;Kanton;Kanton;;;;;X
PROV1751;Mayerton;Mayerton;Mayerton;Mayerton;Mayerton;Mayerton;;;;;X
PROV1752;St-Martin;St-Martin;St-Martin;St-Martin;St-Martin;St-Martin;;;;;X
PROV1753;Dominica;Dominica;Dominica;Dominica;Dominica;Dominica;;;;;X
PROV1754;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;;;;;X
PROV1755;St Vincent;St Vincent;St Vincent;St Vincent;St Vincent;St Vincent;;;;;X
PROV1756;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;San Jose del Guaviare;;;;;X
PROV1757;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;;;;;X
PROV1758;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;;;;;X
PROV1759;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;Atigua & Barbuda;;;;;X
PROV1760;Saint Kitts;Saint Kitts;Saint Kitts;Saint Kitts;Saint Kitts;Saint Kitts;;;;;X
PROV1761;Saba Island;Saba Island;Saba Island;Saba Island;Saba Island;Saba Island;;;;;X
PROV1762;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;Netherlands Antilles;;;;;X
PROV1763;Saint George's;Saint George's;Saint George's;Saint George's;Saint George's;Saint George's;;;;;X
PROV1764;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;;;;;X
PROV1765;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;;;;;X
PROV1766;British Virgin Islands;British Virgin Islands;British Virgin Islands;British Virgin Islands;British Virgin Islands;British Virgin Islands;;;;;X
PROV1767;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;;;;;X
PROV1768;Martinique;Martinique;Martinique;Martinique;Martinique;Martinique;;;;;X
PROV1769;Tobago;Tobago;Tobago;Tobago;Tobago;Tobago;;;;;X
PROV1770;St Lucia;St Lucia;St Lucia;St Lucia;St Lucia;St Lucia;;;;;X
PROV1771;The Bahamas;The Bahamas;The Bahamas;The Bahamas;The Bahamas;The Bahamas;;;;;X
PROV1772;Turks and Caicos;Turks and Caicos;Turks and Caicos;Turks and Caicos;Turks and Caicos;Turks and Caicos;;;;;X
PROV1773;The Bermudas;The Bermudas;The Bermudas;The Bermudas;The Bermudas;The Bermudas;;;;;X
PROV1774;Cayman Islands;Cayman Islands;Cayman Islands;Cayman Islands;Cayman Islands;Cayman Islands;;;;;X
PROV1775;Camaguey;Camaguey;Camaguey;Camaguey;Camaguey;Camaguey;;;;;X
PROV1776;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;San Cristobal de La Habana;;;;;X
PROV1777;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba;;;;;X
PROV1778;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;;;;;X
PROV1779;Santa Clara;Santa Clara;Santa Clara;Santa Clara;Santa Clara;Santa Clara;;;;;X
PROV1780;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;;;;;X
PROV1781;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;;;;;X
PROV1782;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;;;;;X
PROV1783;Greenland;Greenland;Greenland;Greenland;Greenland;Greenland;;;;;X
PROV1784;Bangor;Bangor;Bangor;Bangor;Bangor;Bangor;;;;;X
PROV1785;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;;;;;X
PROV1786;Presque Isle;Presque Isle;Presque Isle;Presque Isle;Presque Isle;Presque Isle;;;;;X
PROV1787;Concord;Concord;Concord;Concord;Concord;Concord;;;;;X
PROV1788;Hartford;Hartford;Hartford;Hartford;Hartford;Hartford;;;;;X
PROV1789;Boston;Boston;Boston;Boston;Boston;Boston;;;;;X
PROV1790;Burlington;Burlington;Burlington;Burlington;Burlington;Burlington;;;;;X
PROV1791;Buffalo;Buffalo;Buffalo;Buffalo;Buffalo;Buffalo;;;;;X
PROV1792;Syracuse;Syracuse;Syracuse;Syracuse;Syracuse;Syracuse;;;;;X
PROV1793;Albany;Albany;Albany;Albany;Albany;Albany;;;;;X
PROV1794;Watertown;Watertown;Watertown;Watertown;Watertown;Watertown;;;;;X
PROV1795;New York;New York;New York;New York;New York;New York;;;;;X
PROV1796;Providence;Providence;Providence;Providence;Providence;Providence;;;;;
PROV1797;Newark;Newark;Newark;Newark;Newark;Newark;;;;;X
PROV1798;Warren;Warren;Warren;Warren;Warren;Warren;;;;;X
PROV1799;Newburgh;Newburgh;Newburgh;Newburgh;Newburgh;Newburgh;;;;;X
PROV1800;Binghampton ;Binghampton ;Binghampton ;Binghampton ;Binghampton ;Binghampton ;;;;;X
PROV1801;Harrisburg;Harrisburg;Harrisburg;Harrisburg;Harrisburg;Harrisburg;;;;;X
PROV1802;Altoona;Altoona;Altoona;Altoona;Altoona;Altoona;;;;;X
PROV1803;Williamsport;Williamsport;Williamsport;Williamsport;Williamsport;Williamsport;;;;;X
PROV1804;Scranton;Scranton;Scranton;Scranton;Scranton;Scranton;;;;;X
PROV1805;Philadelphia;Philadelphia;Philadelphia;Philadelphia;Philadelphia;Philadelphia;;;;;X
PROV1806;Pittsburgh;Pittsburgh;Pittsburgh;Pittsburgh;Pittsburgh;Pittsburgh;;;;;X
PROV1807;Cape Charles;Cape Charles;Cape Charles;Cape Charles;Cape Charles;Cape Charles;;;;;X
PROV1808;Baltimore;Baltimore;Baltimore;Baltimore;Baltimore;Baltimore;;;;;X
PROV1809;Washington;Washington;Washington;Washington;Washington;Washington;;;;;X
PROV1810;Clarksburg;Clarksburg;Clarksburg;Clarksburg;Clarksburg;Clarksburg;;;;;X
PROV1811;Huntington;Huntington;Huntington;Huntington;Huntington;Huntington;;;;;X
PROV1812;Norfolk;Norfolk;Norfolk;Norfolk;Norfolk;Norfolk;;;;;X
PROV1813;Richmond;Richmond;Richmond;Richmond;Richmond;Richmond;;;;;X
PROV1814;Arlington;Arlington;Arlington;Arlington;Arlington;Arlington;;;;;X
PROV1815;Danville;Danville;Danville;Danville;Danville;Danville;;;;;X
PROV1816;Charlottesville;Charlottesville;Charlottesville;Charlottesville;Charlottesville;Charlottesville;;;;;X
PROV1817;Beckley;Beckley;Beckley;Beckley;Beckley;Beckley;;;;;X
PROV1818;Roanoke;Roanoke;Roanoke;Roanoke;Roanoke;Roanoke;;;;;X
PROV1819;Louisville;Louisville;Louisville;Louisville;Louisville;Louisville;;;;;X
PROV1820;Lexington;Lexington;Lexington;Lexington;Lexington;Lexington;;;;;X
PROV1821;Columbus;Columbus;Columbus;Columbus;Columbus;Columbus;;;;;X
PROV1822;Toledo;Toledo;Toledo;Toledo;Toledo;Toledo;;;;;X
PROV1823;Cincinnati;Cincinnati;Cincinnati;Cincinnati;Cincinnati;Cincinnati;;;;;X
PROV1824;Erie;Erie;Erie;Erie;Erie;Erie;;;;;X
PROV1825;Cleveland;Cleveland;Cleveland;Cleveland;Cleveland;Cleveland;;;;;X
PROV1826;Fort Wayne;Fort Wayne;Fort Wayne;Fort Wayne;Fort Wayne;Fort Wayne;;;;;X
PROV1827;Evansville;Evansville;Evansville;Evansville;Evansville;Evansville;;;;;X
PROV1828;Indianapolis;Indianapolis;Indianapolis;Indianapolis;Indianapolis;Indianapolis;;;;;X
PROV1829;Peoria;Peoria;Peoria;Peoria;Peoria;Peoria;;;;;X
PROV1830;Decatur;Decatur;Decatur;Decatur;Decatur;Decatur;;;;;X
PROV1831;Belleville;Belleville;Belleville;Belleville;Belleville;Belleville;;;;;X
PROV1832;Chicago;Chicago;Chicago;Chicago;Chicago;Chicago;;;;;X
PROV1833;Saint Louis;Saint Louis;Saint Louis;Saint Louis;Saint Louis;Saint Louis;;;;;X
PROV1834;Saint Joseph;Saint Joseph;Saint Joseph;Saint Joseph;Saint Joseph;Saint Joseph;;;;;X
PROV1835;Saint Charles;Saint Charles;Saint Charles;Saint Charles;Saint Charles;Saint Charles;;;;;X
PROV1836;Springfield;Springfield;Springfield;Springfield;Springfield;Springfield;;;;;X
PROV1837;Cedar Rapids;Cedar Rapids;Cedar Rapids;Cedar Rapids;Cedar Rapids;Cedar Rapids;;;;;X
PROV1838;Des Moines;Des Moines;Des Moines;Des Moines;Des Moines;Des Moines;;;;;X
PROV1839;Milwaukee;Milwaukee;Milwaukee;Milwaukee;Milwaukee;Milwaukee;;;;;X
PROV1840;Eau Claire;Eau Claire;Eau Claire;Eau Claire;Eau Claire;Eau Claire;;;;;X
PROV1841;Green Bay;Green Bay;Green Bay;Green Bay;Green Bay;Green Bay;;;;;X
PROV1842;Grand Rapids;Grand Rapids;Grand Rapids;Grand Rapids;Grand Rapids;Grand Rapids;;;;;X
PROV1843;Marquette;Marquette;Marquette;Marquette;Marquette;Marquette;;;;;X
PROV1844;Flint;Flint;Flint;Flint;Flint;Flint;;;;;X
PROV1845;Detroit;Detroit;Detroit;Detroit;Detroit;Detroit;;;;;X
PROV1846;Rochester;Rochester;Rochester;Rochester;Rochester;Rochester;;;;;X
PROV1847;Minneapolis;Minneapolis;Minneapolis;Minneapolis;Minneapolis;Minneapolis;;;;;X
PROV1848;Superior;Superior;Superior;Superior;Superior;Superior;;;;;X
PROV1849;Duluth;Duluth;Duluth;Duluth;Duluth;Duluth;;;;;X
PROV1850;Saint Paul;Saint Paul;Saint Paul;Saint Paul;Saint Paul;Saint Paul;;;;;X
PROV1851;Miles City;Miles City;Miles City;Miles City;Miles City;Miles City;;;;;X
PROV1852;Minot;Minot;Minot;Minot;Minot;Minot;;;;;X
PROV1853;Fort Peck;Fort Peck;Fort Peck;Fort Peck;Fort Peck;Fort Peck;;;;;X
PROV1854;Grand Forks;Grand Forks;Grand Forks;Grand Forks;Grand Forks;Grand Forks;;;;;X
PROV1855;Fargo;Fargo;Fargo;Fargo;Fargo;Fargo;;;;;X
PROV1856;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;;;;;X
PROV1857;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;;;;;X
PROV1858;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;;;;;X
PROV1859;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;;;;;X
PROV1860;Omaha;Omaha;Omaha;Omaha;Omaha;Omaha;;;;;X
PROV1861;Coeur d'Alene;Coeur d'Alene;Coeur d'Alene;Coeur d'Alene;Coeur d'Alene;Coeur d'Alene;;;;;X
PROV1862;Bozeman;Bozeman;Bozeman;Bozeman;Bozeman;Bozeman;;;;;X
PROV1863;Helena;Helena;Helena;Helena;Helena;Helena;;;;;X
PROV1864;Great Falls;Great Falls;Great Falls;Great Falls;Great Falls;Great Falls;;;;;X
PROV1865;Missoula;Missoula;Missoula;Missoula;Missoula;Missoula;;;;;X
PROV1866;Casper;Casper;Casper;Casper;Casper;Casper;;;;;X
PROV1867;Glendive;Glendive;Glendive;Glendive;Glendive;Glendive;;;;;X
PROV1868;Billings;Billings;Billings;Billings;Billings;Billings;;;;;X
PROV1869;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;;;;;X
PROV1870;Rexburg;Rexburg;Rexburg;Rexburg;Rexburg;Rexburg;;;;;X
PROV1871;Boise;Boise;Boise;Boise;Boise;Boise;;;;;X
PROV1872;Spokane;Spokane;Spokane;Spokane;Spokane;Spokane;;;;;X
PROV1873;Yakima;Yakima;Yakima;Yakima;Yakima;Yakima;;;;;X
PROV1874;Seattle;Seattle;Seattle;Seattle;Seattle;Seattle;;;;;X
PROV1875;Wenatchee;Wenatchee;Wenatchee;Wenatchee;Wenatchee;Wenatchee;;;;;X
PROV1876;Walla Walla;Walla Walla;Walla Walla;Walla Walla;Walla Walla;Walla Walla;;;;;X
PROV1877;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;;;;;X
PROV1878;Portland;Portland;Portland;Portland;Portland;Portland;;;;;X
PROV1879;Eugene;Eugene;Eugene;Eugene;Eugene;Eugene;;;;;X
PROV1880;Klamath Falls;Klamath Falls;Klamath Falls;Klamath Falls;Klamath Falls;Klamath Falls;;;;;X
PROV1881;Twin Falls;Twin Falls;Twin Falls;Twin Falls;Twin Falls;Twin Falls;;;;;X
PROV1882;Bend;Bend;Bend;Bend;Bend;Bend;;;;;X
PROV1883;Fresno;Fresno;Fresno;Fresno;Fresno;Fresno;;;;;X
PROV1884;Santa Rosa;Santa Rosa;Santa Rosa;Santa Rosa;Santa Rosa;Santa Rosa;;;;;X
PROV1885;Redding;Redding;Redding;Redding;Redding;Redding;;;;;X
PROV1886;San Diego;San Diego;San Diego;San Diego;San Diego;San Diego;;;;;X
PROV1887;Los Angeles;Los Angeles;Los Angeles;Los Angeles;Los Angeles;Los Angeles;;;;;X
