##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
DECLWAR_HEADER;EMERGENCY CABINET MEETING;REUNION DE CRISE;RIUNIONE D'EMERGENZA DEL GABINETTO DEI MINISTRI;REUNIÓN DE EMERGENCIA DEL GABINETE;KABINETT-NOTSTANDSSITZUNG;Nadzwyczajne posiedzenie rz¹du;;;;;X,,,,,,
DECLWAR_1;WAR!;LA GUERRE !;È GUERRA!;¡GUERRA!;KRIEG!;WOJNA!;;;;;X,,,,,,
DECLWAR_2;%t, %s in;%t, %s en;%t, %s in;¡%t, %s en;%t, %s in;%t, %s w pañstwie:;;;;;X
DECLWAR_3;%s declared war;%s nous a déclaré;%s ci ha dichiarato;%s ha declarado la guerra;%s erklärte den Krieg;%s wypowiedzieli nam wojnê.;;;;;X,,,,,,
##;;;;;;;;;;;x,,,,,,
##;;;;;;;;;;;X,,,,,,
#  PEACE OFFER WINDOW;;;;;;;;;;;X,,,,,,
##;;;;;;;;;;;X,,,,,,
POLEADER;%s as LEADER of alliance;%s, en tant que CHEF de l'alliance;%s come CAPO dell'alleanza;%s como LÍDER de alianza;%s als FÜHRER des Bündnisses;%s jako przywódca sojuszu;;;;;X,,,,,
PONATION;%s ALONE (separate peace);%s UNIQUEMENT (paix séparée);%s DA SOLO (pace separata);%s SOLIT. (paz por separado);%s ALLEIN (ein anderer Frieden);%s samodzielnie (pokój separatystyczny);;;;;X,,,,,,
PONEGBLABLA;negotiates Peace with;négocie la paix avec;negozia la pace con;negocia la paz con;verhandelt über Frieden mit;negocjuje pokój z;;;;;X,,,,,,
PO_VASSAL;Demand Vassalisation;demande la vassalisation;Richiede vassallaggio;Exigir pacto vasallaje;Fordern Sie Vasallisierung;Za¿¹daj poddañstwa;;;;;X,,,,,,
PO_RELIGION;Demand Religious Conversion;demande la conversion religieuse;Richiede la conversione religiosa;Exigir conversión religiosa;Fordern Sie religiöse Konvertierung;Za¿¹daj zmiany religii;;;;;X,,,,,,
PO_ACCESS;Demand Military Access;demande l'accès militaire;Richiede l'accesso militare;Exigir acceso militar;Fordern Sie eine Durchmarschgenehmigung;Za¿¹daj dostêpu militarnego;;;;;X,,,,,,
##;;;;;;;;;;;X,,,,,,,,
PCCANCEL;Cancel;Annuler;Annulla;Cancelar;Abbrechen;Anuluj;;;;;X,,,,,,,,
PCSEND;Send Offer;Offre;Invia offerta;Env. oferta;Angebot unterbreiten;Wyœlij propozycjê;;;;;X,,,,,,,,
PCANNEX;Annex;Annexer;Annetti;Anex.;Annektieren;Dokonaj aneksji;;;;;X,,,,,,,,
PCAMSG;Sire, we have won a devastating victory over %s and have the possibility to completely annex them. This would however upset the rest of the world greatly. (Click 'Cancel' to proceed with a normal peace resolution.);Nous avons remporté une victoire décisive contre %s et avons donc la possibilité d'annexer cette nation. Ceci risque toutefois de fortement troubler le reste du monde. (cliquez sur 'Annuler' pour une résolution de paix normale);Sire! Abbiamo ottenuto una vittoria schiacciante contro %s e ora siamo in grado di annetterli completamente. Tuttavia, così facendo potremmo innervosire il resto del mondo. (clicca su 'Annulla' per procedere con una normale risoluzione di pace).;Señor, hemos obtenido una victoria aplastante contra %s y tenemos la posibilidad de anexionarnos su territorio por completo. Sin embargo, esto consternará mucho al resto del mundo. (Haz clic en 'Cancelar' para seguir con un acuerdo de paz normal).;Sir, wir haben %s vernichtend geschlagen und die Möglichkeit, sie vollständig zu annektieren. Dies würde die restliche Welt jedoch in Aufruhr versetzen. (Klicken Sie zum Fortfahren mit einer normalen Friedenslösung auf 'Abbrechen'.);Sir, odnieœliœmy mia¿d¿¹ce zwyciêstwo nad %s i mo¿emy ich zaanektowaæ. To najprawdopodobniej nie przypadnie do gustu innym pañstwom. (Wybierz 'Anuluj', aby wybraæ zwyk³y traktat pokojowy);;;;;X
PCRMSG;This will automatically convert %s to %s and end the war without any province changes, and give you a considerable Victory Point Bonus.;%s se convertira alors automatiquement à %s et la guerre s'achèvera sans échange de provinces tout en vous accordant un bonus de points de victoire considérable.;Converti automaticamente %s al %s e termina la guerra senza alcun cambio di provincia, ottenendo una quantità notevole di punti vittoria.;Esto convertirá automáticamente a %s en %s, terminará la guerra sin cambio alguno en las provincias y te dará una bonificación considerable a los puntos de victoria.;Dies wandelt %s automatisch zu %s um und beendet den Krieg ohne Gebietsveränderungen. Außerdem erhalten Sie einen beträchtlichen Siegespunktebonus.;Spowoduje to automatyczn¹ zamianê %s na %s i zakoñczy wojnê bez ¿adnych zmian terytorialnych, daj¹c Ci spor¹ iloœæ dodatkowych punktów zwyciêstwa. ;;;;;X,,,,
##;;;;;;;;;;;X,,,,,,,,
POPROVINCE;Province;Province;Provincia;Provincia;Provinz;Prowincja;;;;;X,,,,,,,,
PORECIVER;Receiver;Destinataire;Destinatario;Receptor;Empfänger;Beneficjent;;;;;X,,,,,,,,
POSCORE;Value;Valeur;Valore;Valor;Wert;Wartoœæ;;;;;X,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,
# NOTE: POPROLLPROV is a rollover help where the first %s is the name of a province, and the second %s is either string PORPOLLDEMAND or POPROLLOFFER.;;;;;;;;;;;X,,,,,,,
POROLLPROV;Remove %s from %s.;Enlever %s de %s.;Rimuovi %s dalla %s.;Quitar %s de %s.;%s von %s abziehen.;Usuñ %s z %s.;;;;;X,,,,,,,,
POROLLPLUS;Add 25$ to %s.;Ajouter 25$ à %s.;Aggiungi 25 $ alla %s.;Sumar 25 $ a %s.;25$ an %s hinzufügen.;Dodaj 25$ do %s.;;;;;X,,,,,,,,
POROLLMINUS;Remove 25$ from %s.;Enlever 25$ de %s.;Rimuovi 25 $ dalla %s.;Quitar 25 $ de %s.;25$ von %s abziehen.;Odejmij 25$ od %s.;;;;;X,,,,,,,,
POROLLDEMAND;the peace demand;la demande de paix;richiesta di pace;la petición de paz;die Friedensforderung;¿¹danie pokoju;;;;;X,,,,,,,,
POROLLOFFER;the peace offer;l'offre de paix;offerta di pace;la oferta de paz;das Friedensangebot;oferta pokoju;;;;;X
##;;;;;;;;;;;X
POROLLCENTER;Center map on %s.;Centrer la carte sur %s.;Centra la mappa su %s.;Centrar mapa en %s.;Karte zentrieren auf %s.;Wyœrodkuj mapê na %s.;;;;;X
POROLLDEMPROV;Demand %s in tribute.;Demander %s en échange.;Richiedi un tributo in %s.;Exigir %s en tributo.;Fordern Sie %s als Tribut.;¯¹daj daniny %s.;;;;;X
POROLLOFFPROV;Offer %s in tribute.;Offrir %s en échange.;Offri un tributo a %s.;Ofrecer %s en tributo.;%s als Tribut anbieten.;Zaoferuj daninê %s.;;;;;X
# Wardescriptions;;;;;;;;;;;x
WARDESC_US;-100: We control nothing.\n;-100: nous ne contrôlons rien.\n;-100: non controlliamo nulla.\n;-100: no controlamos nada.\n;-100: Wir kontrollieren nichts.\n;-100: Nie kontrolujemy ¿adnej prowincji.\n;;;;;X
WARDESC_THEM;+100: They control nothing.\n;+100: ils ne contrôlent rien.\n;+100: non controllano nulla.\n;+100: no controlan nada.\n;+100: Sie kontrollieren nichts.\n;+100: Oni nie kontroluj¹ ¿adnej prowincji.\n;;;;;X
WARDESC_OCCUPIED;-%d: They occupy %s.\n;%d: ils occupent %s.\n;-%d: occupano %s.\n;-%d: ocupan %s.\n;-%d: Sie besetzen %s.\n;-%d: Oni okupuj¹ %s.\n;;;;;X
WARDESC_LIBERATED;+%d: We occupy %s.\n;+%d: nous occupons %s.\n;+%d: occupiamo %s.\n;+%d: ocupamos %s.\n;+%d: Wir besetzen %s.\n;+%d: My okupujemy %s.\n;;;;;X
WARDESC_BATTLE;%d: Battles with %s\n;%d: batailles avec %s\n;%d: battaglie con %s\n;%d: combate con %s\n;%d: Schlachten mit %s\n;%d: Bitwy z %s\n;;;;;X
WARDESC_ALLIANCE;%d: Battles with the alliance\n;%d: batailles avec l'alliance\n;%d: battaglie con l'alleanza\n;%d: combate con la alianza\n;%d: Schlachten mit dem Bündnis\n;%d: Bitwy z sojuszem\n;;;;;X
##;;;;;;;;;;;X
VERYEASY;Very Easy;Très facile;Molto facile;Muy fácil;Sehr einfach;Bardzo ³atwy;;;;;X
EASY;Easy;Facile;Facile;Fácil;Leicht;£atwy;;;;;X
MODERATE;Moderate;Normal;Moderato;Normal;Mäßig;Œredni;;;;;X
DIFFICULT;Difficult;Difficile;Difficile;Difícil;Schwer;Trudny;;;;;X
VERYDIFFICULT;Very Difficult;Très difficile;Molto difficile;Muy difícil;Sehr schwierig;Bardzo trudny;;;;;X
MNTHLYINCM;Monthly Income: %d;Revenus mensuels: %d;Entrate mensili: %d;Ingr. mensuales: %d;Monatseinkommen: %d;Miesiêczne dochody: %d;;;;;X
MNTHLYEXP;Monthly Expenses: %d;Dépenses mensuelles: %d;Uscite mensili: %d;Gastos mensuales: %d;Monatsausgaben: %d;Miesiêczne wydatki: %d;;;;;X
MNTHLYBAL;Monthly Balance: %d;Solde mensuel: %d;Bilancio mensile: %d;Balance mensual: %d;Monatsbilanz: %d;Bilans miesiêczny: %d;;;;;X
##;;;;;;;;;;;X
#  COMBAT INFORMATION WINDOWS;;;;;;;;;;;X
##;;;;;;;;;;;X
#  LEADER TYPES ? note: not rank but 'type';;;;;;;;;;;X
##;;;;;;;;;;;X
GENERAL;General;Général;Generale;General;General;Genera³;;;;;X
ADMIRAL;Admiral;Amiral;Ammiraglio;Almirante;Admiral;Admira³;;;;;X
##;;;;;;;;;;;X
#  DYNAMIC UNIT DESIGNATIONS;;;;;;;;;;;X
##;;;;;;;;;;;X
UNITNAMESQUADRON;Squadron;Escadron;Squadrone;Escuadrón;Geschwader;Eskadra;;;;;X
UNITNAMEAIRFLEET;Squadron;Escadron;Squadrone;Escuadrilla;Geschwader;Eskadra;;;;;x
UNITNAMEFLEET;Fleet;Flotte;Flotta;Flota;Flotte;Flotylla;;;;;X
UNITNAMECORPS;Corps;Corps;Corpi;Cuerpo;Korps;Korpus;;;;;X
UNITNAMEARMY;Army;Armée;Esercito;Ejército;Armee;Armia;;;;;X
##;;;;;;;;;;;X
UNITLEADERNAME;Leader Name;Nom du commandant;Nome del comandante;Nombre líder;Name des Kommandanten;Nazwisko dowódcy;;;;;X
##;;;;;;;;;;;X
RANKLADMIRAL;Lord Admiral;Amiral en chef;Lord ammiraglio;Gran almirante;Lordadmiral;Lord admiralicji;;;;;X
RANKADMIRAL;Admiral;Amiral;Ammiraglio;Almirante;Admiral;Admira³;;;;;X
RANKVADMIRAL;Vice Admiral;Vice-amiral;Vice ammiraglio;Vicealmirante;Vizeadmiral;Wiceadmira³;;;;;X
RANKRADMIRAL;Rear Admiral;Contre-amiral;Contrammir.;Contralmirante;Konteradmiral;Kontradmira³;;;;;X
RANKCOMMODORE;Flotilla Admiral;Amiral de flotte;Ammiraglio di flotta;Almirante flotilla;Flottillenadmiral;Komandor;;;;;X
RANKSEACAPTAIN;Commodore;Commodore;Commodoro;Comodoro;Kommodore;Kapitan;;;;;X
RANKKING;Monarch;Monarque;Monarca;Monarca;Monarch;Król;;;;;X
RANKFMARSHAL;Field chief judge;Maréchal en chef;Maresciallo;Mariscal de campo;Feldmarschall;Feldmarsza³ek;;;;;X
RANKMARSHAL;General;Général ****;Generale;General;General;Genera³;;;;;X
RANKGENERAL;Lt.General;Général ***;Tenente;Ten. general;Generalleutnant;Genera³ broni;;;;;X
RANKCOLONEL;Maj.General;Général **;Maggiore;General de unidad;Generalmajor;Genera³ dywizji;;;;;X
RANKMAJOR;Brigadier;Général;Generale di brigata;Gen. brigada;Brigadier;Major;;;;;X
RANKCAPTAIN;Colonel;Colonel;Colonnello;Coronel;Oberst;Pu³kownik;;;;;X
##;;;;;;;;;;;X
UNITMANUEVER1;Maneuver Value;Valeur de manoeuvre;Costo manovre;Valor maniobra;Manöverwert;Zdolnoœci manewrowe;;;;;X
UNITMANUEVER2;Affects the unit's overall performance.;Affecte les performances de votre unité;Influisce sulle prestazioni globali dell'unità;Afecta al rendim. general de la unidad.;Beeinflusst die Gesamtleistung der Einheit;Wp³ywa na osi¹gi jednostki.;;;;;X
UNITNAVALSHOCK1;Boarding Value;Valeur d’emport;Costo abbordaggi;Valor abordaje;Bordwert;Zdolnoœci aborda¿owe;;;;;X
UNITNAVALSHOCK2;Affects the unit's performance in board phase of naval combat.;Affecte les performances de l’unité engagée en phase d’embarquement.;Influisce sulle prestazioni dell'unità nelle fasi di abbordaggio di una battaglia navale.;Afecta rendim. de unidad en fase de abordaje del combate naval.;Beeinflusst die Leistung der Einheit während der Eintrittsphase von Seegefechten.;Wp³ywa na osi¹gi jednostki w walce morskiej podczas fazy aborda¿u.;;;;;X
UNITNAVALFIRE1;Fire Value;Valeur de tir;Costo fuoco;Valor disparo;Feuerwert;Ostrza³;;;;;X
UNITNAVALFIRE2;Affects the unit's performance in fire phase of naval combat.;Affecte les performances de l’unité engagée en phase de tir d'un combat naval.;Influisce sulle prestazioni dell'unità nelle fasi di fuoco di una battaglia navale.;Afecta rendim. unidad en fase de disparo del combate naval.;Beeinflusst die Leistung der Einheit während der Feuerphase von Seegefechten.;Wp³ywa na osi¹gi jednostki w walce morskiej podczas fazy ostrza³u.;;;;;X
##;;;;;;;;;;;X
UNITLANDSHOCK1;Shock Value;Valeur de choc;Costo fattore sorpresa;Valor choque;Schockwert;Zaskoczenie;;;;;X
UNITLANDSHOCK2;Affects the unit's performance in shock phase of land combat.;Affecte les performances de l’unité en phase de choc d'un combat terrestre.;Influisce sulle prestazioni dell'unità in questa fase di un combattimento terrestre.;Afecta rendim. unidad en fase de choque del combate terrestre.;Beeinflusst die Leistung der Einheit während der Sturmphase von Landgefechten.;Wp³ywa na osi¹gi jednostki w walce na l¹dzie podczas fazy zaskoczenia.;;;;;X
UNITLANDFIRE1;Fire Value;Valeur de tir;Costo fuoco;Valor disparo;Feuerwert;Ostrza³;;;;;X
UNITLANDFIRE2;Affects the unit's performance in fire phase of land combat.;Affecte les performances de l’unité en phase de tir dans un combat terrestre .;Influisce sulle prestazioni dell'unità nelle fasi di fuoco di un combattimento terrestre.;Afecta rendim. unidad en fase de disparo del combate terrestre.;Beeinflusst die Leistung der Einheit während der Feuerphase von Landgefechten.;Wp³ywa na osi¹gi jednostki w walce l¹dowej podczas fazy ostrza³u.;;;;;X
UNITSIEGE1;Siege Value;Valeur de siège;Costo assedio;Valor asedio;Belagerungswert;Oblê¿enie;;;;;X,,,,,,,,,,
UNITSIEGE2;Affects the unit's performance in sieges.;Affecte la performance de votre unité pendant un siège.;Influisce sulle prestazioni dell'unità negli assedi.;Afecta rendim. unidad en los asedios.;Beeinflusst die Leistung der Einheit während Belagerungen.;Wp³ywa na efektywnoœæ jednostki podczas oblê¿enia.;;;;;X,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,
#  COMBAT RESULTS ? describes combat status of armies and navies;;;;;;;;;;;X,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,
ANWMORALE;MORALE;MORAL;MORALE;MORAL;MORAL;Morale;;;;;X,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,
INVINCIBLE;Invincible;Invincible;Invincibile;Irreductible;Unbesiegbar;Nie do pokonania;;;;;X,,,,,,,,,,
VERYSTRONG;Very Strong;Très bon;Molto forte;Muy fuerte;Sehr stark;Bardzo wysokie;;;;;X,,,,,,,,,,
STRONG;Strong;Bon;Forte;Fuerte;Stark;Wysokie;;;;;X,,,,,,,,,,
DISCIPLINED;Disciplined;Discipliné;Disciplinato;Disciplinada;Diszipliniert;Œrednie;;;;;X,,,,,,,,,,
WEAK;Weak;Faible;Debole;Débil;Schwach;S³abe;;;;;X,,,,,,,,,,
BREAKING;Breaking;Cassé;Distrutto;En ruptura;Schwindend;Bliskie za³amaniu;;;;;X,,,,,,,,,,
PANIC;Panic;Panique;Terrorizzato;Pánico;Panik;Panika;;;;;X,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,
ANW_MORALE_IRO;The higher the morale, the longer your troops can fight before breaking from a combat. Morale increases automatically whenever the unit is not in combat.;Plus le moral de vos troupes est bon, plus leur endurance au combat est longue. Le moral augmente automatiquement lorsqu’une unité est au repos.;Più è alto il morale, più a lungo le tue truppe combatteranno prima di gettare la spugna. Questo fattore aumenta automaticamente quando l'unità non combatte.;Cuanto más alta sea la moral, más tiempo lucharán tus tropas antes de 'romperse' y abandonar el combate. La moral aumenta automáticamente mientras la unidad no esté en combate.;Je besser die Moral, desto länger können Ihre Truppen kämpfen, bevor sie eine Kampfpause brauchen. Die Moral steigt automatisch, wenn sich die Einheit nicht im Kampf befindet.;Im wy¿sze morale, tym d³u¿ej jednostka bêdzie walczy³a, nim wycofa siê z walki. Morale roœnie automatycznie, kiedy ¿o³nierze nie walcz¹.;;;;;X
ANW_MORALE_DRO;Maximum morale:\n%.1f National morale (due to technology)\n%.1f Religion modifier\n%.1f Maintenance modifier;Moral maximal: \n%.1f Moral national (résultant des novelles technologies)\n%.1f Modificateur religieux\n%.1f Modificateur de maintenance;Morale massimo:\n%.1f Morale nazionale (grazie alla tecnologia)\n%.1f Fattore religioso\n%.1f Fattore sostentamento;Moral máxima:\n%.1f Moral nacional (debida a tecnología)\n%.1f Modif. religión \n%.1f Modif. mantenimiento;Maximale Moral:\n%.1f Nationalmoral (infolge der Technologie)\n%.1f Religionsmodifikator\n%.1f Verwaltungsmodifikator;Maksymalne morale:\n %.1f Narodowe morale (technologia)\n %.1f Modyfikator religijny\n %.1f Modyfikator kosztów utrzymania;;;;;X
##;;;;;;;;;;;X
NIWNTP;TC: %d/%d;CT : %d/%d;CT: %d/%d;CT: %d/%d.;TK: %d/%d;ZT: %d/%d;;;;;X
##;;;;;;;;;;;X
#  COMBAT PHASE NAMES;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  UNIT INFORMATION WINDOWS;;;;;;;;;;;X
##;;;;;;;;;;;X
IWUNIT_REORG;Create New Unit;Nouvelle unité;Crea nuova unità;Crear nueva unidad;Neue Einheit aufstellen;Stwórz now¹ jednostkê;;;;;X
IWUNIT_RETURN;Return Control to Owner;Rendre le contrôle au propriétaire;Restituisci il controllo al proprietario;Devolver mando propiet.;Kontrolle an Eigentümer zurückgeben;Zwróæ w³aœcicielowi;;;;;X
EXP_SEND;Send %s;Envoyer %s;Invia %s;Enviar %s;%s entsenden;Wyœlij %s;;;;;X
IWUNIT_UNLOAD;Unload Troops;Débarquer les troupes;Scarica truppe;Desemb. tropas;Truppen entladen;Wy³aduj ¿o³nierzy;;;;;X
IWUNIT_AIR;Order Carried Planes;Commander des avions transportés;Impartisci ordini ai velivoli;Órdenes aviones transp.;Trägerflugzeuge bestellen;Rozkazy dla CAG;;;;;x
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X,,,,,,,,,
#  MULTIPLE UNITS WINDOW;;;;;;;;;;;X,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,
ANWNAVIES;%d Navies Selected;%d flottes sélectionnées.;%d navi selez.;%d navíos selec.;%d Marineinfanterie ausgewählt;%d wybranych flot.;;;;;X,,,,,,,,,
ANWARMIES;%d Armies Selected;%d armées sélectionnées.;%d eserciti selez.;%d ejércitos selec.;%d Armeen ausgewählt;%d wybranych armii;;;;;X,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,
UIW_NAVY;%d Navies Selected;%d flottes sélectionnées.;%d navi selez.;%d navíos selec.;%d Marineinfanterie ausgewählt;%d wybranych flot.;;;;;X,,,,,,,,,
UIW_ARMY;%d Armies Selected;%d armées sélectionnées.;%d eserciti selez.;%d ejércitos selec.;%d Armeen ausgewählt;%d wybranych armii;;;;;X,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,
UIW_NOREORG;You cannot reorganize units that are moving, in combat or in different provinces;Il est impossible de réorganiser les unités en déplacement, en combat ou réparties dans différentes provinces.;Non puoi riorganizzare le unità in movimento, in battaglia o in altre province.;No puedes reorganizar unidades en movimiento, en combate o en provincias diferentes.;Einheiten, die sich bewegen, sich im Kampf befinden oder sich in unterschiedlichen Provinzen aufhalten, können Sie nicht umorganisieren;Nie mo¿esz zreorganizowaæ jednostek bêd¹cych w ruchu, walcz¹cych, lub bêd¹cych w ró¿nych prowincjach.;;;;;X
##;;;;;;;;;;;X,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,
BADBOY6;We have an extremely bad reputation.;Nous avons une réputation exécrable.;La nostra reputazione è pessima.;Tenemos una reputación extremadamente mala.;Wir haben einen extrem schlechten Ruf.;Mamy bardzo z³¹ reputacjê.;;;;;X,,,,,,,,,
BADBOY7;Many countries hate and fear us.;Nous avons une réputation lamentable.;Ci considerano feccia.;Somos escoria sin honor.;Wir sind ehrloser Abschaum.;Jesteœmy uwa¿ani za ³ajdaków.;;;;;X,,,,,,,,,
BADBOY8;Most countries hate and fear us.;Nous avons une réputation catastrophique.;Ci considerano peggio della feccia.;Somos peores que la escoria sin honor.;Wir sind schlimmer als ehrloser Abschaum.;Mówi¹ o nas: najgorszi, podli ³ajdacy.;;;;;X,,,
BADBOY9;We are hated throughout the entire world.;Le monde entier nous hait.;Tutto il mondo ci odia.;El mundo entero nos odia.;Wir sind auf der gesamten Welt verhasst.;Ca³y œwiat nas nienawidzi.;;;;;X,,,,
#  Note: In ALLEXPIRE, %s is for the date (uses player's Windows settings), %d for the year;;;;;;;;;;;X,,
ALL_EXPIRE;This alliance will expire automatically in %s %d.;Cette alliance expirera automatiquement en %s %d.;Quest'alleanza scadrà automaticamente in %s %d.;Esta alianza expirará automáticamente en: %s %d.;Dieses Bündnis läuft %s %d automatisch aus.;Ten sojusz zakoñczy siê w %s %d.;;;;;X,,,,
ALL_VASSAL;This vassalization has existed since %s %d.;Cette vassalisation existe depuis %s %d.;Questo vassallaggio esiste da %s %d.;Este pacto de vasallaje ha existido desde: %s %d.;Diese Vasallenbeziehung existierte seit %s %d.;Poddañstwo istnieje od %s %d.;;;;;X,,,,
DIWROLL_ALL_I;View the selected nation's alliances with other nations.;Afficher les alliances de la nation sélectionnée.;Visualizza le alleanze della nazione selezionata.;Ver alianzas que nación selec. tiene con otras naciones.;Bündnisse der ausgewählten Nation mit anderen Nationen anzeigen.;Poka¿ sojusze wybranego pañstwa.;;;;;X,,,,
DIWROLL_ALL_D;Alliances are formal agreements that regulate what penalties will apply in case of hostile actions. Create new alliances by clicking the 'Send Diplomat' button.;Les alliances sont des accords formels qui définissent les pénalités encourues en cas d'actions hostiles. Créez une nouvelle alliance en cliquant sur le bouton 'Envoyer diplomate'.;Le alleanze e gli accordi formali, che regolano le punizioni da applicare in caso di azioni ostili. Crea nuove alleanze cliccando sul pulsante 'Invia diplomatico'.;Las alianzas son acuerdos formales que regulan las penalizaciones que se aplicarán en caso de acciones hostiles. Crea nuevas alianzas haciendo clic en el botón de 'Enviar diplomático'.;Bündnisse sind formelle Abkommen, die bestimmen, welche Strafen im Falle feindlicher Handlungen verhängt werden. Gehen Sie durch Klicken auf die Schaltfläche 'Diplomat entsenden' neue Bündnisse ein.;Sojusz to formalna umowa definiuj¹ca reakcjê na wrogie akcje wobec sojuszników. Nowy sojusz mo¿na stworzyæ wysy³aj¹c dyplomatê do zaprzyjaŸnionego pañstwa.;;;;;X,
DIWROLL_REL_I;View the selected nation's relations towards other nations.;Afficher les relations de la nation sélectionnée.;Visualizza le relazioni della nazione selezionata con altri stati.;Ver relaciones que nación selec. tiene con otras naciones.;Beziehungen der ausgewählten Nation zu anderen Nationen anzeigen.;Poka¿ stosunki tego pañstwa z innymi narodami.;;;;;X,,,,
