JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
5088;Minister of Armament;Fujiyama Aiichiro;1957;1964;1999;PA;Resource Industrialist;High;MJAPFujiyama;x
5089;Minister of Armament;Sato Eisaku;1958;1964;1999;PA;Theoretical Scientist;High;MJAPSato3;x
5090;Minister of Security;Matsuzaka Hiromasa;1948;1960;1960;PA;Secret Police Chief;High;MJAPMatsuzaka;x
5091;Minister of Security;Kimura Tokutaro;1951;1964;1999;PA;Efficient Sociopath;High;MJAPKimura;x
5092;Minister of Security;Kato Ryogoro;1953;1964;1999;PA;Compassionate Gentleman;High;MJAPKato2;x
5093;Minister of Security;Koizumi Junya;1958;1964;1999;PA;Man of the People;High;MJAPKoizumi;x
5094;Head of Military Intelligence;Shigemune Yuzo;1952;1964;1999;PA;Political Specialist;High;MJAPShigemune;x
5095;Head of Military Intelligence;Hamano Seigo;1957;1964;1999;PA;Technical Specialist;High;MJAPHamano;x
5096;Head of Military Intelligence;Morinaga Teiichiro;1958;1964;1999;PA;Industrial Specialist;High;M5234;x
5097;Head of Government;Sasakawa Ryoichi;1956;1964;1999;NS;Smiling Oilman;High;MJAPSasakawa;x #National Populist, Post-1948
5098;Foreign Minister;Oshima Hiroshi;1948;1964;1999;NS;General Staffer;High;MJAPOshima;x
5099;Foreign Minister;Shiina Etsusaburo;1956;1964;1999;NS;Great Compromiser;High;MJAPShiina;x
5100;Minister of Armament;Sasakawa Ryoichi;1948;1964;1999;NS;Air Superiority Proponent;High;MJAPSasakawa;x
5101;Minister of Armament;Kawanami Toyosaku;1952;1964;1999;NS;Military Entrepreneur;High;MJAPKawanami;x
5102;Minister of Armament;Yotsumoto Yoshitaka;1956;1964;1999;NS;Resource Industrialist;High;MJAPYotsumoto;x
5103;Minister of Security;Kodama Yoshio;1952;1964;1999;NS;Crooked Kleptocrat;High;MJAPKodama;x
5104;Minister of Security;Akao Bin;1956;1964;1999;NS;Compassionate Gentleman;High;MJAPAkao;x
5105;Head of Military Intelligence;Kodama Yoshio;1952;1964;1999;NS;Industrial Specialist;High;MJAPKodama;x
5106;Head of Military Intelligence;Akao Bin;1956;1964;1999;NS;Dismal Enigma;High;MJAPAkao;x
